shock_id,shock_name,jurisdiction,event_date,legal_date,instrument_type,binding,exogeneity_tier,affected_countries,matched_gvkeys,is_first_mover,source
EU_LCPD,Large Combustion Plant Directive 2001/80/EC,EU,2001-10-23,2001-11-27,Directive,yes,2,EU-wide,015321;023586;064910;100950;100953;100957;101148;101609;102287;102797;102823;102863;103133;103167;103195;104652;154941;200478;201794;204671;206671;210359;213559;216524;216667;220307;220572;220920;220942;222131;222333;222601;225597;233257;233435;234117;238717;239586;239650;241877;244341;244394;248166;248220;249638;250759;250762;250763;250778;257151;269554;269744;270451;270655;278663;281784;282550;285082;285317;286302;287982;288970;290445;293530;294966;296362;310791;311745;311748;313756;313961;313975;314157;314479;317179;317535;317954;319564;321632;322597;324161;324808;325699;326097;326162;326908;328809;329260;329994;330559;332310;332967;335480;335545;335706;340607;340608;342333;342334;346131;346263;346354;346904;347822;348985;349408;349471;349514;349959;350685;352195;352259;352646;352992;353597;353930;354041;355383;356819;360320;361625;362421;364169;364416;367684,False,EUR-Lex OJ L 309
EU_IED,Industrial Emissions Directive 2010/75/EU,EU,2010-11-24,2011-01-06,Directive,yes,2,EU-wide,015321;023586;064910;100950;100953;100957;101148;101609;102287;102797;102823;102863;103133;103167;103195;104652;154941;200478;201794;204671;206671;210359;213559;216524;216667;220307;220572;220920;220942;222131;222333;222601;225597;233257;233435;234117;238717;239586;239650;241877;244341;244394;248166;248220;249638;250759;250762;250763;250778;257151;269554;269744;270451;270655;278663;281784;282550;285082;285317;286302;287982;288970;290445;293530;294966;296362;310791;311745;311748;313756;313961;313975;314157;314479;317179;317535;317954;319564;321632;322597;324161;324808;325699;326097;326162;326908;328809;329260;329994;330559;332310;332967;335480;335545;335706;340607;340608;342333;342334;346131;346263;346354;346904;347822;348985;349408;349471;349514;349959;350685;352195;352259;352646;352992;353597;353930;354041;355383;356819;360320;361625;362421;364169;364416;367684,False,EUR-Lex OJ L 334
EU_ETS_MSR,EU ETS Market Stability Reserve Decision 2015/1814,EU,2015-10-06,2019-01-01,Decision,yes,3,EU ETS countries,015321;023586;064910;100950;100953;100957;101148;101609;102287;102797;102823;102863;103133;103167;103195;104652;154941;200478;201794;204671;206671;210359;213559;216524;216667;220307;220572;220920;220942;222131;222333;222601;225597;233257;233435;234117;238717;239586;239650;241877;244341;244394;248166;248220;249638;250759;250762;250763;250778;257151;269554;269744;270451;270655;278663;281784;282550;285082;285317;286302;287982;288970;290445;293530;294966;296362;310791;311745;311748;313756;313961;313975;314157;314479;317179;317535;317954;319564;321632;322597;324161;324808;325699;326097;326162;326908;328809;329260;329994;330559;332310;332967;335480;335545;335706;340607;340608;342333;342334;346131;346263;346354;346904;347822;348985;349408;349471;349514;349959;350685;352195;352259;352646;352992;353597;353930;354041;355383;356819;360320;361625;362421;364169;364416;367684,False,EUR-Lex OJ L 264
EU_BAT_LCP,BAT Conclusions Large Combustion Plants 2017/1442,EU,2017-07-31,2021-08-17,Implementing Decision,yes,2,EU-wide,015321;023586;064910;100950;100953;100957;101148;101609;102287;102797;102823;102863;103133;103167;103195;104652;154941;200478;201794;204671;206671;210359;213559;216524;216667;220307;220572;220920;220942;222131;222333;222601;225597;233257;233435;234117;238717;239586;239650;241877;244341;244394;248166;248220;249638;250759;250762;250763;250778;257151;269554;269744;270451;270655;278663;281784;282550;285082;285317;286302;287982;288970;290445;293530;294966;296362;310791;311745;311748;313756;313961;313975;314157;314479;317179;317535;317954;319564;321632;322597;324161;324808;325699;326097;326162;326908;328809;329260;329994;330559;332310;332967;335480;335545;335706;340607;340608;342333;342334;346131;346263;346354;346904;347822;348985;349408;349471;349514;349959;350685;352195;352259;352646;352992;353597;353930;354041;355383;356819;360320;361625;362421;364169;364416;367684,False,EUR-Lex OJ L 212
EU_ETS_IV,EU ETS Phase IV Reform Directive 2018/410,EU,2018-03-14,2018-04-08,Directive,yes,2,EU ETS countries,015321;023586;064910;100950;100953;100957;101148;101609;102287;102797;102823;102863;103133;103167;103195;104652;154941;200478;201794;204671;206671;210359;213559;216524;216667;220307;220572;220920;220942;222131;222333;222601;225597;233257;233435;234117;238717;239586;239650;241877;244341;244394;248166;248220;249638;250759;250762;250763;250778;257151;269554;269744;270451;270655;278663;281784;282550;285082;285317;286302;287982;288970;290445;293530;294966;296362;310791;311745;311748;313756;313961;313975;314157;314479;317179;317535;317954;319564;321632;322597;324161;324808;325699;326097;326162;326908;328809;329260;329994;330559;332310;332967;335480;335545;335706;340607;340608;342333;342334;346131;346263;346354;346904;347822;348985;349408;349471;349514;349959;350685;352195;352259;352646;352992;353597;353930;354041;355383;356819;360320;361625;362421;364169;364416;367684,False,EUR-Lex OJ L 76
EU_TAXONOMY,EU Taxonomy Regulation 2020/852,EU,2020-06-18,2020-07-12,Regulation,yes,3,EU-wide,015321;023586;064910;100950;100953;100957;101148;101609;102287;102797;102823;102863;103133;103167;103195;104652;154941;200478;201794;204671;206671;210359;213559;216524;216667;220307;220572;220920;220942;222131;222333;222601;225597;233257;233435;234117;238717;239586;239650;241877;244341;244394;248166;248220;249638;250759;250762;250763;250778;257151;269554;269744;270451;270655;278663;281784;282550;285082;285317;286302;287982;288970;290445;293530;294966;296362;310791;311745;311748;313756;313961;313975;314157;314479;317179;317535;317954;319564;321632;322597;324161;324808;325699;326097;326162;326908;328809;329260;329994;330559;332310;332967;335480;335545;335706;340607;340608;342333;342334;346131;346263;346354;346904;347822;348985;349408;349471;349514;349959;350685;352195;352259;352646;352992;353597;353930;354041;355383;356819;360320;361625;362421;364169;364416;367684,False,EUR-Lex OJ L 198
EU_BAT_LCP2,BAT Conclusions Re-adopted 2021/2326,EU,2021-11-30,2025-12-30,Implementing Decision,yes,2,EU-wide,015321;023586;064910;100950;100953;100957;101148;101609;102287;102797;102823;102863;103133;103167;103195;104652;154941;200478;201794;204671;206671;210359;213559;216524;216667;220307;220572;220920;220942;222131;222333;222601;225597;233257;233435;234117;238717;239586;239650;241877;244341;244394;248166;248220;249638;250759;250762;250763;250778;257151;269554;269744;270451;270655;278663;281784;282550;285082;285317;286302;287982;288970;290445;293530;294966;296362;310791;311745;311748;313756;313961;313975;314157;314479;317179;317535;317954;319564;321632;322597;324161;324808;325699;326097;326162;326908;328809;329260;329994;330559;332310;332967;335480;335545;335706;340607;340608;342333;342334;346131;346263;346354;346904;347822;348985;349408;349471;349514;349959;350685;352195;352259;352646;352992;353597;353930;354041;355383;356819;360320;361625;362421;364169;364416;367684,False,EUR-Lex OJ L 469
EU_FIT55_ETS,Fit for 55 ETS Revision Directive 2023/959,EU,2023-05-10,2023-06-05,Directive,yes,2,EU ETS countries,015321;023586;064910;100950;100953;100957;101148;101609;102287;102797;102823;102863;103133;103167;103195;104652;154941;200478;201794;204671;206671;210359;213559;216524;216667;220307;220572;220920;220942;222131;222333;222601;225597;233257;233435;234117;238717;239586;239650;241877;244341;244394;248166;248220;249638;250759;250762;250763;250778;257151;269554;269744;270451;270655;278663;281784;282550;285082;285317;286302;287982;288970;290445;293530;294966;296362;310791;311745;311748;313756;313961;313975;314157;314479;317179;317535;317954;319564;321632;322597;324161;324808;325699;326097;326162;326908;328809;329260;329994;330559;332310;332967;335480;335545;335706;340607;340608;342333;342334;346131;346263;346354;346904;347822;348985;349408;349471;349514;349959;350685;352195;352259;352646;352992;353597;353930;354041;355383;356819;360320;361625;362421;364169;364416;367684,False,EUR-Lex OJ L 16.5.2023
EU_CBAM,CBAM Regulation 2023/956,EU,2023-05-10,2023-10-01,Regulation,yes,3,EU + trade partners,015321;023586;064910;100950;100953;100957;101148;101609;102287;102797;102823;102863;103133;103167;103195;104652;154941;200478;201794;204671;206671;210359;213559;216524;216667;220307;220572;220920;220942;222131;222333;222601;225597;233257;233435;234117;238717;239586;239650;241877;244341;244394;248166;248220;249638;250759;250762;250763;250778;257151;269554;269744;270451;270655;278663;281784;282550;285082;285317;286302;287982;288970;290445;293530;294966;296362;310791;311745;311748;313756;313961;313975;314157;314479;317179;317535;317954;319564;321632;322597;324161;324808;325699;326097;326162;326908;328809;329260;329994;330559;332310;332967;335480;335545;335706;340607;340608;342333;342334;346131;346263;346354;346904;347822;348985;349408;349471;349514;349959;350685;352195;352259;352646;352992;353597;353930;354041;355383;356819;360320;361625;362421;364169;364416;367684,False,EUR-Lex OJ L 130
DE_COAL_EXIT,Kohleausstiegsgesetz,Germany,2020-07-03,2020-08-14,Federal law,yes,1,DEU,100950;100953;101148;102823;210359;216524;220307;244394;248166;248220;278663;321632;322597;326908;329260;335480,True,Bundesgesetzblatt 13 Aug 2020
