gem_id,plant_name,country,ret_year,wiki_url,extracted_date,date_precision,raw_snippet
G100000113255,Alberta Sundance power station,Canada,2018,https://www.gem.wiki/Alberta_Sundance_power_station,2018-10-31,day,"An October 31, 2018 TransAlta press release states that in the third quarter of 2018 the company ""Retired the previously mothballed Sundance Unit 2 due to its relatively short useful life, small size "
G100000113256,Alberta Sundance power station,Canada,2018,https://www.gem.wiki/Alberta_Sundance_power_station,2018-10-31,day,"An October 31, 2018 TransAlta press release states that in the third quarter of 2018 the company ""Retired the previously mothballed Sundance Unit 2 due to its relatively short useful life, small size "
G100000100156,Amer power station,Netherlands,2015,https://www.gem.wiki/Amer_power_station,,,
G100000113955,Anadyrskaya power station,Russia,2018,https://www.gem.wiki/Anadyrskaya_power_station,,,
G100000100290,Apatitskaya CHP power station,Russia,2016,https://www.gem.wiki/Apatitskaya_CHP_power_station,,,
G100000100377,Ashtabula power station,United States,2015,https://www.gem.wiki/Ashtabula_power_station,2015-04-15,day,"The plant shut down on April 15, 2015"
G100000100644,Barry Steam Plant,United States,2015,https://www.gem.wiki/Barry_Steam_Plant,2015-04-15,month,"The company ceased using coal at units 1 and 2 of Barry in April 2015, which will be available on a limited basis with gas as the fuel source"
G100000100645,Barry Steam Plant,United States,2015,https://www.gem.wiki/Barry_Steam_Plant,2015-04-15,month,"The company ceased using coal at units 1 and 2 of Barry in April 2015, which will be available on a limited basis with gas as the fuel source"
G100000100646,Barry Steam Plant,United States,2015,https://www.gem.wiki/Barry_Steam_Plant,2015-04-15,month,"The company ceased using coal at units 1 and 2 of Barry in April 2015, which will be available on a limited basis with gas as the fuel source"
G100000100704,Beijing Yire power station,China,2015,https://www.gem.wiki/Beijing_Yire_power_station,,,
G100000100705,Beijing Yire power station,China,2015,https://www.gem.wiki/Beijing_Yire_power_station,,,
G100000112551,Bielsko-Biala power station,Poland,2015,https://www.gem.wiki/Bielsko-Biala_power_station,,,
G100000100860,Big Sandy Plant,United States,2015,https://www.gem.wiki/Big_Sandy_Plant,2016-05-30,day,"[6] Unit 1 was closed in November 2015, and started producing electricity from gas on May 30, 2016"
G100000100949,Black Dog Generating Station,United States,2015,https://www.gem.wiki/Black_Dog_Generating_Station,2015-04-15,month,"Black Dog received its last coal shipment in April 2015, and will close by the end of the year"
G100000100950,Black Dog Generating Station,United States,2015,https://www.gem.wiki/Black_Dog_Generating_Station,2015-04-15,month,"Black Dog received its last coal shipment in April 2015, and will close by the end of the year"
G100000100970,Boardman Plant,United States,2020,https://www.gem.wiki/Boardman_Plant,2020-10-15,day,"The coal plant was retired on October 15, 2020"
G100000100976,Bocamina power station,Chile,2020,https://www.gem.wiki/Bocamina_power_station,2020-05-27,day,"1 Enel Generación requests authorization for the early closure of Bocamina, its last coal plant in Chile, Enel Chile, May 27, 2020"
G100000101018,Borssele power station,Netherlands,2015,https://www.gem.wiki/Borssele_power_station,,,
G100000101023,Bouchain power station,France,2015,https://www.gem.wiki/Bouchain_power_station,,,
G100000101145,Bydgoszcz power station,Poland,2015,https://www.gem.wiki/Bydgoszcz_power_station,,,
G100000101187,Cane Run Station,United States,2015,https://www.gem.wiki/Cane_Run_Station,2015-06-15,month,"The power station was shut down in June 2015, and replaced with a US$540 million, 650-megawatt natural gas combined cycle plant"
G100000101188,Cane Run Station,United States,2015,https://www.gem.wiki/Cane_Run_Station,2015-06-15,month,"The power station was shut down in June 2015, and replaced with a US$540 million, 650-megawatt natural gas combined cycle plant"
G100000101189,Cane Run Station,United States,2015,https://www.gem.wiki/Cane_Run_Station,2015-06-15,month,"The power station was shut down in June 2015, and replaced with a US$540 million, 650-megawatt natural gas combined cycle plant"
G100001000357,Chandrapur (Assam) power station,India,2017,https://www.gem.wiki/Chandrapur_(Assam)_power_station,2017-08-18,day,"According to the Indian Central Electricity Authority's (CEA) list of retired power stations, the Chandrapur (Assam) power station was a coal-fired power station retired on August 18, 2017"
G100001000358,Chandrapur (Assam) power station,India,2017,https://www.gem.wiki/Chandrapur_(Assam)_power_station,2017-08-18,day,"According to the Indian Central Electricity Authority's (CEA) list of retired power stations, the Chandrapur (Assam) power station was a coal-fired power station retired on August 18, 2017"
G100000114310,Charqueadas power station,Brazil,2016,https://www.gem.wiki/Charqueadas_power_station,,,
G100000101435,Cherokee Station,United States,2015,https://www.gem.wiki/Cherokee_Station,,,
G100000101437,Chesapeake Energy Center,United States,2015,https://www.gem.wiki/Chesapeake_Energy_Center,2014-07-15,month,"[1][2] In July 2014, the company said it planned to shut down all units of its Chesapeake Energy Center by the end of 2014"
G100000101438,Chesapeake Energy Center,United States,2015,https://www.gem.wiki/Chesapeake_Energy_Center,2014-07-15,month,"[1][2] In July 2014, the company said it planned to shut down all units of its Chesapeake Energy Center by the end of 2014"
G100000101439,Chesapeake Energy Center,United States,2015,https://www.gem.wiki/Chesapeake_Energy_Center,2014-07-15,month,"[1][2] In July 2014, the company said it planned to shut down all units of its Chesapeake Energy Center by the end of 2014"
G100000101440,Chesapeake Energy Center,United States,2015,https://www.gem.wiki/Chesapeake_Energy_Center,2014-07-15,month,"[1][2] In July 2014, the company said it planned to shut down all units of its Chesapeake Energy Center by the end of 2014"
G100000101522,Cholla Generating Station,United States,2015,https://www.gem.wiki/Cholla_Generating_Station,2016-06-01,day,"↑ ""Between 2013 and 2015, APS retired 1,030 MW of fossil fueled capacity,"" Pennwell Hub, June 1, 2016"
G100000101541,Chongqing power station,China,2015,https://www.gem.wiki/Chongqing_power_station,,,
G100000101618,Clinch River Plant,United States,2015,https://www.gem.wiki/Clinch_River_Plant,2015-05-15,month,Unit 3 (235 MW) was shut down in May 2015
G100000101655,Colbert Fossil Plant,United States,2015,https://www.gem.wiki/Colbert_Fossil_Plant,2016-03-23,day,"On March 23, 2016, the coal-fired power plant's last unit went offline"
G100000101705,Corette Plant,United States,2015,https://www.gem.wiki/Corette_Plant,2015-08-15,month,However in February 2015 PPL said it was shutting down the plant permanently by August 2015
