gvkey,year,coal_mw,gas_mw,fossil_mw,clean_mw,total_mw,alpha,coal_share,n_plants
201794,2010,8399.4,13197.0,21596.4,553.7,22150.1,0.9750,0.3792,80
201794,2011,8749.4,13197.0,21946.4,641.7,22588.1,0.9716,0.3873,83
201794,2012,9549.4,13197.0,22746.4,641.7,23388.1,0.9726,0.4083,84
201794,2013,10338.8,13197.0,23535.8,641.7,24177.5,0.9735,0.4276,84
201794,2014,12578.8,13197.0,25775.8,641.7,26417.5,0.9757,0.4762,86
201794,2015,12366.2,13277.0,25643.2,641.7,26284.9,0.9756,0.4705,83
201794,2016,12366.2,13277.0,25643.2,641.7,26284.9,0.9756,0.4705,83
201794,2017,12211.2,13277.0,25488.2,641.7,26129.9,0.9754,0.4673,82
201794,2018,12211.2,13277.0,25488.2,641.7,26129.9,0.9754,0.4673,82
201794,2019,12061.2,13277.0,25338.2,641.7,25979.9,0.9753,0.4643,80
201794,2020,11401.2,13277.0,24678.2,641.7,25319.9,0.9747,0.4503,79
201794,2021,10465.2,13277.0,23742.2,641.7,24383.9,0.9737,0.4292,76
201794,2022,10465.2,13277.0,23742.2,645.7,24387.9,0.9735,0.4291,77
201794,2023,9752.6,13577.0,23329.6,1060.7,24390.3,0.9565,0.3999,77
201794,2024,9680.0,13577.0,23257.0,1160.7,24417.7,0.9525,0.3964,76
201794,2025,9680.0,14585.0,24265.0,1160.7,25425.7,0.9543,0.3807,78
201794,2026,9680.0,14585.0,24265.0,1490.7,25755.7,0.9421,0.3758,81
100251,2010,8880.0,2910.0,11790.0,1683.0,13473.0,0.8751,0.6591,32
100251,2011,8880.0,3030.0,11910.0,1683.0,13593.0,0.8762,0.6533,34
100251,2012,8880.0,3030.0,11910.0,1683.0,13593.0,0.8762,0.6533,34
100251,2013,8880.0,3030.0,11910.0,1683.0,13593.0,0.8762,0.6533,34
100251,2014,8880.0,3030.0,11910.0,1683.0,13593.0,0.8762,0.6533,34
100251,2015,8880.0,3030.0,11910.0,1736.0,13646.0,0.8728,0.6507,35
100251,2016,8880.0,3030.0,11910.0,1838.0,13748.0,0.8663,0.6459,36
100251,2017,8880.0,3030.0,11910.0,1838.0,13748.0,0.8663,0.6459,36
100251,2018,8880.0,3030.0,11910.0,1838.0,13748.0,0.8663,0.6459,36
100251,2019,8880.0,3240.0,12120.0,1838.0,13958.0,0.8683,0.6362,37
100251,2020,8880.0,3000.0,11880.0,2035.0,13915.0,0.8538,0.6382,36
100251,2021,8880.0,2880.0,11760.0,2035.0,13795.0,0.8525,0.6437,35
100251,2022,8380.0,2760.0,11140.0,2035.0,13175.0,0.8455,0.6361,33
100251,2023,6880.0,2760.0,9640.0,2035.0,11675.0,0.8257,0.5893,30
100251,2024,6880.0,2760.0,9640.0,2035.0,11675.0,0.8257,0.5893,30
100251,2025,6880.0,2760.0,9640.0,2035.0,11675.0,0.8257,0.5893,30
100251,2026,6880.0,2760.0,9640.0,2035.0,11675.0,0.8257,0.5893,30
100302,2010,17522.2,18032.3,35554.5,6256.8,41811.3,0.8504,0.4191,145
100302,2011,17522.2,18452.3,35974.5,6284.8,42259.3,0.8513,0.4146,149
100302,2012,17872.2,18592.3,36464.5,6427.8,42892.3,0.8501,0.4167,156
100302,2013,18549.6,20138.3,38687.9,6633.5,45321.3,0.8536,0.4093,171
100302,2014,19006.9,21717.8,40724.7,6786.9,47511.6,0.8572,0.4000,183
100302,2015,19006.9,22604.3,41611.2,7212.9,48824.1,0.8523,0.3893,193
100302,2016,18938.2,22604.3,41542.5,7517.1,49059.5,0.8468,0.3860,197
100302,2017,19937.5,22746.9,42684.4,7692.1,50376.4,0.8473,0.3958,206
100302,2018,20637.5,22746.9,43384.4,7966.5,51350.9,0.8449,0.4019,212
100302,2019,20637.5,22746.9,43384.4,8113.7,51498.1,0.8424,0.4007,215
100302,2020,20637.5,21257.1,41894.6,8610.2,50504.8,0.8295,0.4086,219
100302,2021,20422.5,20525.1,40947.6,9510.2,50457.8,0.8115,0.4047,220
100302,2022,21582.5,20580.5,42163.0,10173.8,52336.8,0.8056,0.4124,234
100302,2023,23252.5,20630.5,43883.0,10617.9,54500.9,0.8052,0.4266,243
100302,2024,25355.5,20791.7,46147.2,11070.4,57217.6,0.8065,0.4431,252
100302,2025,25808.5,21476.8,47285.3,11091.9,58377.1,0.8100,0.4421,260
100302,2026,26528.5,21476.8,48005.3,11091.9,59097.1,0.8123,0.4489,262
017525,2010,2880.0,2474.0,5354.0,3592.0,8946.0,0.5985,0.3219,34
017525,2011,2880.0,2474.0,5354.0,3592.0,8946.0,0.5985,0.3219,34
017525,2012,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2013,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2014,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2015,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2016,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2017,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2018,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2019,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2020,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2021,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2022,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2023,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2024,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2025,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
017525,2026,2880.0,3058.0,5938.0,3592.0,9530.0,0.6231,0.3022,36
