gvkey,fyear,conm,fic,sic,at,sale,ppent,capx,ceq,dltt,dlc,oibdp,xint,oancf,alpha,lambda,rho,kappa,delta,source
015321,2010,ENDESA SA,ESP,4911,62588.0,29558.0,32896.0,2593.0,17776.0,16256.0,985.0,7606.0,1227.0,5905.0,0.0352,0.2755,0.1215,4.8126,0.9429,compustat_global_utilities.csv
015321,2011,ENDESA SA,ESP,4911,58721.0,30827.0,32904.0,2814.0,19291.0,12408.0,897.0,7107.0,782.0,5838.0,0.1012,0.2266,0.1210,7.4655,0.9326,compustat_global_utilities.csv
015321,2012,ENDESA SA,ESP,4911,58778.0,32284.0,34106.0,2247.0,20653.0,9454.0,971.0,6820.0,679.0,5247.0,0.1012,0.1774,0.1160,7.7275,0.9069,compustat_global_utilities.csv
015321,2013,ENDESA SA,ESP,4911,56457.0,29677.0,32053.0,2399.0,20521.0,7551.0,1152.0,6720.0,896.0,4551.0,0.1012,0.1542,0.1190,5.0792,0.8676,compustat_global_utilities.csv
015321,2014,ENDESA SA,ESP,4911,30696.0,20473.0,21104.0,1853.0,8576.0,6083.0,0.0,3238.0,136.0,3714.0,0.1012,0.1982,0.1055,27.3088,1.0000,compustat_global_utilities.csv
015321,2015,ENDESA SA,ESP,4911,29245.0,19281.0,20815.0,882.0,9036.0,4680.0,0.0,3237.0,165.0,2656.0,0.1298,0.1600,0.1107,16.0970,1.0000,compustat_global_utilities.csv
015321,2016,ENDESA SA,ESP,4911,30964.0,18313.0,21891.0,1258.0,8952.0,4206.0,1144.0,3518.0,133.0,2995.0,0.1242,0.1728,0.1136,22.5188,0.7862,compustat_global_utilities.csv
015321,2017,ENDESA SA,ESP,4911,31037.0,19556.0,21727.0,1078.0,9096.0,4402.0,978.0,3312.0,133.0,2438.0,0.1211,0.1733,0.1067,18.3308,0.8182,compustat_global_utilities.csv
015321,2018,ENDESA SA,ESP,4911,31656.0,19555.0,21840.0,1425.0,9037.0,4969.0,1046.0,3487.1,130.0,2420.0,0.1126,0.1900,0.1102,18.6154,0.8261,compustat_global_utilities.csv
015321,2019,ENDESA SA,ESP,4911,31981.0,19258.0,21329.0,1821.0,7688.0,5632.0,954.0,3521.0,133.0,3181.0,0.0648,0.2059,0.1101,23.9173,0.8551,compustat_global_utilities.csv
015321,2020,ENDESA SA,ESP,4911,32062.0,16644.0,21354.0,1704.0,7315.0,5901.0,1372.0,4267.0,137.0,2951.0,0.0419,0.2268,0.1331,21.5401,0.8114,compustat_global_utilities.csv
015321,2021,ENDESA SA,ESP,4911,39968.0,20527.0,22097.0,2082.0,5380.0,7211.0,3167.0,3894.0,142.0,2621.0,0.0384,0.2597,0.0974,18.4577,0.6948,compustat_global_utilities.csv
015321,2022,ENDESA SA,ESP,4911,49960.0,32545.0,22338.0,2132.0,5560.0,11704.0,6784.0,4928.0,246.0,1672.0,0.0323,0.3701,0.0986,6.7967,0.6331,compustat_global_utilities.csv
015321,2023,ENDESA SA,ESP,4911,41283.0,25070.0,22839.0,2284.0,7017.0,9636.0,4091.0,3432.0,505.0,4697.0,0.0347,0.3325,0.0831,9.3010,0.7020,compustat_global_utilities.csv
015321,2024,ENDESA SA,ESP,4911,37345.0,20935.0,22940.0,1846.0,8110.0,9881.0,613.0,4800.0,471.0,3567.0,0.0377,0.2810,0.1285,7.5732,0.9416,compustat_global_utilities.csv
174928,2010,TNS ENERGO ROSTOV-ON-DON,RUS,4911,4877.83,14797.145,127.839,11.676,1084.319,0.0,587.03,-2837.209,11.628,-630.521,,0.1203,-0.5817,-54.2244,0.0000,compustat_global_utilities.csv
174928,2011,TNS ENERGO ROSTOV-ON-DON,RUS,4911,4424.385,17547.273,122.688,10.71,1241.054,0.0,1559.712,-1400.814,76.086,-675.623,,0.3525,-0.3166,-8.8797,0.0000,compustat_global_utilities.csv
174928,2012,TNS ENERGO ROSTOV-ON-DON,RUS,4911,4624.919,17884.856,123.53,18.971,857.681,0.0,1785.146,102.619,150.934,188.303,,0.3860,0.0222,1.2476,0.0000,compustat_global_utilities.csv
174928,2013,TNS ENERGO ROSTOV-ON-DON,RUS,4911,9543.604,28119.84,534.454,384.698,1052.51,250.822,4872.61,-57.111,401.884,-348.496,,0.5368,-0.0060,-0.8672,0.0490,compustat_global_utilities.csv
174928,2014,TNS ENERGO ROSTOV-ON-DON,RUS,4911,9347.559,39094.026,547.278,31.013,1156.427,180.814,3874.208,-93.025,620.043,1021.618,,0.4338,-0.0100,1.6477,0.0446,compustat_global_utilities.csv
174928,2015,TNS ENERGO ROSTOV-ON-DON,RUS,4911,10810.972,41801.993,562.71,65.919,1378.989,110.806,4784.986,512.28,770.653,-820.656,,0.4529,0.0474,-1.0649,0.0226,compustat_global_utilities.csv
174928,2016,TNS ENERGO ROSTOV-ON-DON,RUS,4911,12901.534,45392.917,598.851,61.607,1005.073,40.798,5158.931,653.326,702.173,629.358,,0.4030,0.0506,0.8963,0.0078,compustat_global_utilities.csv
174928,2017,TNS ENERGO ROSTOV-ON-DON,RUS,4911,10653.659,40442.281,623.574,103.706,-336.196,0.0,5201.315,650.061,578.772,107.055,,0.4882,0.0610,0.1850,0.0000,compustat_global_utilities.csv
174928,2018,TNS ENERGO ROSTOV-ON-DON,RUS,4911,8621.932,42839.612,633.974,52.794,-1625.821,0.0,4951.498,994.305,685.007,294.234,,0.5743,0.1153,0.4295,0.0000,compustat_global_utilities.csv
174928,2019,TNS ENERGO ROSTOV-ON-DON,RUS,4911,9160.519,44023.33,667.567,41.554,-1741.84,380.613,4763.145,1627.668,675.276,1096.482,,0.5615,0.1777,1.6238,0.0740,compustat_global_utilities.csv
174928,2020,TNS ENERGO ROSTOV-ON-DON,RUS,4911,9404.151,44002.085,630.196,9.767,-1478.025,25.527,4914.592,1162.516,625.972,464.738,,0.5253,0.1236,0.7424,0.0052,compustat_global_utilities.csv
174928,2021,TNS ENERGO ROSTOV-ON-DON,RUS,4911,8294.338,48627.729,747.099,187.215,-501.255,0.0,2999.1,1531.099,471.518,2130.403,,0.3616,0.1846,4.5182,0.0000,compustat_global_utilities.csv
016590,2010,POWER ASSETS HOLDINGS LTD,HKG,4911,92703.0,10371.0,47924.0,2290.0,56137.0,17312.0,8461.0,7449.0,434.0,7043.0,1.0000,0.2780,0.0804,16.2281,0.6717,compustat_global_utilities.csv
016590,2011,POWER ASSETS HOLDINGS LTD,HKG,4911,94730.0,10201.0,48799.0,2535.0,57873.0,23009.0,617.0,6589.0,667.0,7431.0,1.0000,0.2494,0.0696,11.1409,0.9739,compustat_global_utilities.csv
016590,2012,POWER ASSETS HOLDINGS LTD,HKG,4911,101646.0,10415.0,49298.0,2677.0,63035.0,19282.0,5317.0,6895.0,716.0,7224.0,1.0000,0.2420,0.0678,10.0894,0.7839,compustat_global_utilities.csv
016590,2013,POWER ASSETS HOLDINGS LTD,HKG,4911,105237.0,10222.0,49122.0,2003.0,69438.0,21845.0,503.0,6510.0,765.0,8263.0,1.0000,0.2124,0.0619,10.8013,0.9775,compustat_global_utilities.csv
016590,2014,POWER ASSETS HOLDINGS LTD,HKG,4911,136274.0,2131.0,32.0,125.0,123088.0,10204.0,0.0,1052.0,441.0,2193.0,1.0000,0.0749,0.0077,4.9728,1.0000,compustat_global_utilities.csv
016590,2015,POWER ASSETS HOLDINGS LTD,HKG,4911,135358.0,1308.0,30.0,1.0,123597.0,9405.0,0.0,,264.0,1870.0,1.0000,0.0695,,7.0833,1.0000,compustat_global_utilities.csv
016590,2016,POWER ASSETS HOLDINGS LTD,HKG,4911,129777.0,1288.0,29.0,,118411.0,8514.0,0.0,490.0,248.0,726.0,1.0000,0.0656,0.0038,2.9274,1.0000,compustat_global_utilities.csv
016590,2017,POWER ASSETS HOLDINGS LTD,HKG,4911,107001.0,1420.0,14.0,,95580.0,3679.0,3544.0,911.0,295.0,1113.0,1.0000,0.0675,0.0085,3.7729,0.5093,compustat_global_utilities.csv
016590,2018,POWER ASSETS HOLDINGS LTD,HKG,4911,91437.0,1555.0,14.0,1.0,83557.0,3437.0,0.0,1314.0,194.0,2555.0,1.0000,0.0376,0.0144,13.1701,1.0000,compustat_global_utilities.csv
016590,2019,POWER ASSETS HOLDINGS LTD,HKG,4911,93571.0,1348.0,19.0,,85492.0,3321.0,3.0,,96.0,1849.0,1.0000,0.0355,,19.2604,0.9991,compustat_global_utilities.csv
016590,2020,POWER ASSETS HOLDINGS LTD,HKG,4911,93552.0,1270.0,17.0,2.0,84766.0,0.0,3642.0,1120.0,86.0,962.0,1.0000,0.0389,0.0120,11.1860,0.0000,compustat_global_utilities.csv
