gvkey,ric,free_float_pct,concentrated_ownership_pct,shares_outstanding,us_listed
015321,ELE.MC,28.512,71.488,1038804244.0,0
016590,0006.HK,63.9755,36.0245,2131105154.0,0
017525,ORG.AX,98.7556,1.2443999999999988,1721406511.0,0
019774,SCIL.SI,49.3334,50.6666,1780131258.0,0
027141,ENELCHILE.SN,35.9023,64.0977,69166557219.0,1
029039,ENELAM.SN,17.4023,82.5977,107281698561.0,1
030282,MER.PS,21.6907,78.30930000000001,1127092509.0,0
030538,ENELGXCH.SN,6.2589,93.7411,8201754580.0,1
030747,0902.HK,87.1586,12.841399999999993,4700383440.0,1
030874,015760.KS,47.4864,52.5136,641964077.0,1
060844,CEPUm.BA,64.4252,35.574799999999996,1502744633.0,1
064577,CPLE3.SA,61.9267,38.0733,2970070324.0,1
064910,EDP.LS,71.4139,28.586100000000002,4133898185.0,0
100251,AGL.AX,89.1015,10.898499999999999,672747233.0,0
100302,9503.T,88.7337,11.266300000000001,1114056720.0,0
100365,9509.T,93.6943,6.305700000000002,205350999.0,0
100439,9504.T,87.7305,12.269499999999994,359576341.0,0
100450,9502.T,96.967,3.0330000000000013,755393538.0,0
100488,9508.T,96.4646,3.5353999999999957,472778133.0,0
100688,9501.T,93.4132,6.586799999999997,1602702047.0,0
100690,9506.T,95.0772,4.922799999999995,500310857.0,0
100953,RWEG.DE,89.5742,10.425799999999995,713564711.0,0
100957,IBE.MC,99.7505,0.2494999999999976,6757845603.0,0
101148,LECG.F,3.39,96.61,35444640.0,0
101769,9507.T,80.0454,19.9546,204373467.0,0
102311,9505.T,87.8546,12.145399999999995,208905235.0,0
102781,NEAG.S,18.1882,81.8118,33118321.0,0
102797,VERB.VI,69.9992,30.000799999999998,170233686.0,0
102890,BKWB.S,37.3578,62.6422,52770453.0,0
103133,EVNV.VI,19.8998,80.1002,178306081.0,0
103148,NTEA_p.L,39.2671,60.7329,127689809.0,0
103167,EDSP.PA,10.7197,89.2803,7169386.0,0
103195,BHAV.VI,9.7368,90.2632,3000000.0,0
103342,SSE.L,99.8853,0.11469999999999914,1212191770.0,0
104474,YTLS.KL,24.6791,75.3209,11617155326.0,0
104544,FEES.MM,24.722,75.27799999999999,2099732936199.0,0
104652,EDNn.MI,100.0,0.0,109559893.0,0
104814,TENA.KL,45.5991,54.4009,5829142171.0,0
111320,EGIE3.SA,31.2879,68.71209999999999,1142298836.0,0
120454,ENERGY.JS,8.2397,91.7603,1316324120.0,0
125457,GEPA3.SA,94.36,5.640000000000001,31477761.0,0
154941,HRA.MI,65.781,34.218999999999994,1478373666.0,0
174928,RTSB.MM,14.5715,85.4285,8128764676.0,0
200478,NSEN.AS,94.9106,5.089399999999998,117858811.0,0
