gem_parent,gem_norm,gvkey,conm,fic,isin,match_type,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,total_mw,alpha
Huaneng Power International Inc,huaneng power international,030747,HUANENG POWER INTERNATIONAL,CHN,CNE1000006Z4,exact_norm,76780.5,11929.7,3875.2,1431.8,88710.3,94017.3,0.9436
NTPC Ltd,ntpc,268325,NTPC LTD,IND,INE733E01010,exact_norm,62267.2,6236.0,3782.0,50.0,68503.2,72335.2,0.9470
NextEra Energy Inc,nextera energy,004517,NEXTERA ENERGY INC,USA,,exact_norm,472.8,28185.1,12897.2,25138.4,28657.8,66693.5,0.4297
Saudi Electricity Co,saudi electricity,274222,SAUDI ELECTRICITY CO,SAU,SA0007879550,exact_norm,0.0,61967.8,96.3,0.0,61967.8,62064.2,0.9984
China Energy Investment Corp,china energy investment,270113,HCIG ENERGY INVESTMENT CO,CHN,CNE000000FT5,jaccard_0.50,59865.9,864.6,0.0,0.0,60730.5,60730.5,1.0000
China Energy Investment Corp,china energy investment,356341,SHAANXI ENERGY INVESTMENT CO,CHN,CNE100005Z70,jaccard_0.50,59865.9,864.6,0.0,0.0,60730.5,60730.5,1.0000
Korea Electric Power Corp,korea electric power,030874,KEPCO-KOREA ELEC POWER CORP,KOR,KR7015760002,exact_norm,35344.0,24321.7,187.3,25.0,59665.7,59878.1,0.9965
Datang International Power Generation Co Ltd,datang international power generation,103124,INTERNATIONAL POWER PLC,GBR,GB0006320161,comp_subset,38692.3,6006.0,2447.0,1856.1,44698.3,49001.4,0.9122
Duke Energy Corp,duke energy,004093,DUKE ENERGY CORP,USA,,exact_norm,15888.9,24733.2,3719.6,3303.9,40622.2,47645.7,0.8526
Eskom Holdings SOC Ltd,eskom,220454,ESKOM,ZAF,,exact_norm,44531.8,2420.3,0.0,100.0,46952.1,47052.1,0.9979
Huadian Power International Co Ltd,huadian power international,103124,INTERNATIONAL POWER PLC,GBR,GB0006320161,jaccard_0.50,38111.0,8121.3,452.5,84.0,46232.3,46768.8,0.9885
Huadian Power International Co Ltd,huadian power international,030747,HUANENG POWER INTERNATIONAL,CHN,CNE1000006Z4,jaccard_0.50,38111.0,8121.3,452.5,84.0,46232.3,46768.8,0.9885
GD POWER Development Co Ltd,gd power development,271031,ELEC POWER DEVELOPMENT CO,JPN,JP3551200003,jaccard_0.50,41801.0,317.8,1690.9,1044.2,42118.8,44853.9,0.9390
China Resources Power Holdings Co Ltd,china resources power,259541,CHINA YANGTZE POWER CO,CHN,CNE000001G87,jaccard_0.50,42753.1,304.5,0.0,38.0,43057.6,43095.6,0.9991
Vistra Corp,vistra,157373,VISTRA CORP,USA,,exact_norm,9085.2,27558.2,451.3,0.0,36643.4,37094.7,0.9878
Southern Co,southern,009850,SOUTHERN CO,USA,,exact_norm,9527.3,25329.2,89.0,0.0,34856.5,34945.5,0.9975
Chubu Electric Power Co Inc,chubu electric power,100450,CHUBU ELECTRIC POWER CO INC,JPN,JP3526600006,exact_norm,6628.0,27213.6,12.5,70.8,33841.6,33924.9,0.9975
ENGIE SA,engie,220942,ENGIE SA,FRA,FR0010208488,exact_norm,319.0,22711.2,4777.8,5968.4,23030.2,33776.4,0.6818
Tokyo Electric Power Co,tokyo electric power,100688,TOKYO ELECTRIC POWER CO HOLD,JPN,JP3585800000,exact_norm,6708.6,26844.3,0.0,0.0,33552.9,33552.9,1.0000
Constellation Energy Corp,constellation energy,001995,CONSTELLATION ENERGY GRP INC,USA,,exact_norm,0.0,32914.8,0.0,29.0,32914.8,32943.8,0.9991
Constellation Energy Corp,constellation energy,040614,CONSTELLATION ENE CORP,USA,,exact_norm,0.0,32914.8,0.0,29.0,32914.8,32943.8,0.9991
Inter RAO PJSC,inter rao,289434,INTER RAO UES OJSC,RUS,RU000A0JPNM1,exact_norm,4021.0,24205.5,0.0,30.0,28226.5,28256.5,0.9989
RWE AG,rwe,100953,RWE AKTIENGESELLSCHAFT,DEU,DE0007037129,exact_norm,7064.8,15735.2,618.0,4745.0,22800.0,28163.0,0.8096
Guangdong Electric Power Development Co Ltd,guangdong electric power development,211744,GUANGDONG ELECTRIC POWER DEV,CHN,CNE0000006J0,exact_norm,16634.0,9030.3,478.6,0.0,25664.4,26143.0,0.9817
Entergy Corp,entergy,007366,ENTERGY CORP,USA,,exact_norm,2579.3,20583.5,220.0,40.0,23162.8,23422.8,0.9889
Tennessee Valley Authority,tennessee valley authority,010447,TENNESSEE VALLEY AUTHORITY,USA,,exact_norm,7130.2,13849.7,0.0,0.0,20979.9,20979.9,1.0000
American Electric Power Company Inc,american electric power,001440,AMERICAN ELECTRIC POWER CO,USA,,exact_norm,11869.4,8581.5,0.0,0.0,20450.9,20450.9,1.0000
Xcel Energy Inc,xcel energy,007977,XCEL ENERGY INC,USA,,exact_norm,4899.5,10234.4,230.0,4468.5,15133.9,19832.4,0.7631
Dominion Energy Inc,dominion energy,004029,DOMINION ENERGY INC,USA,,exact_norm,4576.2,12078.0,2973.7,12.0,16654.2,19639.8,0.8480
China Power International Development Co Ltd,china power international development,252355,CHINA POWER NEW ENERGY DEV,BMU,HK0000350550,comp_subset,12136.2,815.2,4049.0,1000.1,12951.4,18000.5,0.7195
