parent_name,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,clean_mw,total_mw,alpha,units
Huaneng Power International Inc,76780.5,11929.7,3875.2,1431.8,88710.3,5307.1,94017.3,0.9436,303
NTPC Ltd,62267.2,6236.0,3782.0,50.0,68503.2,3832.0,72335.2,0.9470,199
NextEra Energy Inc,472.8,28185.1,12897.2,25138.4,28657.8,38035.6,66693.5,0.4297,353
unknown,43675.0,14958.7,2248.9,2291.7,58633.7,4540.6,63174.3,0.9281,1960
Saudi Electricity Co,0.0,61967.8,96.3,0.0,61967.8,96.3,62064.2,0.9984,379
China Energy Investment Corp,59865.9,864.6,0.0,0.0,60730.5,0.0,60730.5,1.0000,213
Korea Electric Power Corp,35344.0,24321.7,187.3,25.0,59665.7,212.3,59878.1,0.9965,139
China Shenhua Energy Co Ltd,55162.4,2036.0,255.0,0.0,57198.4,255.0,57453.4,0.9956,248
Egyptian Electricity Holding Co,0.0,51077.7,11.9,0.0,51077.7,11.9,51089.6,0.9998,109
China Huadian Corp Ltd,40455.1,6025.0,2913.1,439.4,46480.0,3352.5,49832.5,0.9327,230
Datang International Power Generation Co Ltd,38692.3,6006.0,2447.0,1856.1,44698.3,4303.1,49001.4,0.9122,195
Duke Energy Corp,15888.9,24733.2,3719.6,3303.9,40622.2,7023.5,47645.7,0.8526,235
Eskom Holdings SOC Ltd,44531.8,2420.3,0.0,100.0,46952.1,100.0,47052.1,0.9979,103
Huadian Power International Co Ltd,38111.0,8121.3,452.5,84.0,46232.3,536.5,46768.8,0.9885,159
GD POWER Development Co Ltd,41801.0,317.8,1690.9,1044.2,42118.8,2735.1,44853.9,0.9390,220
China Resources Power Holdings Co Ltd,42753.1,304.5,0.0,38.0,43057.6,38.0,43095.6,0.9991,128
State Power Investment Corp Ltd,34307.1,3557.9,3778.9,540.0,37865.0,4318.9,42183.9,0.8976,180
China Datang Corp Ltd,37854.5,1168.8,2048.6,922.5,39023.3,2971.1,41994.4,0.9293,185
PT PLN (Persero),19345.8,18503.5,0.0,0.0,37849.3,0.0,37849.3,1.0000,169
Zhejiang Zheneng Electric Power Co Ltd,32470.3,4944.0,30.0,0.0,37414.3,30.0,37444.3,0.9992,122
Vistra Corp,9085.2,27558.2,451.3,0.0,36643.4,451.3,37094.7,0.9878,103
Southern Co,9527.3,25329.2,89.0,0.0,34856.5,89.0,34945.5,0.9975,115
Chubu Electric Power Co Inc,6628.0,27213.6,12.5,70.8,33841.6,83.3,33924.9,0.9975,175
ENGIE SA,319.0,22711.2,4777.8,5968.4,23030.2,10746.2,33776.4,0.6818,379
Tokyo Electric Power Co,6708.6,26844.3,0.0,0.0,33552.9,0.0,33552.9,1.0000,161
Constellation Energy Corp,0.0,32914.8,0.0,29.0,32914.8,29.0,32943.8,0.9991,85
China Huaneng Group Co Ltd,25794.7,1408.3,4846.6,544.5,27203.0,5391.2,32594.2,0.8346,213
Comisión Federal de Electricidad EPE,5378.0,24091.4,436.0,185.0,29469.4,621.0,30090.4,0.9794,104
Inter RAO PJSC,4021.0,24205.5,0.0,30.0,28226.5,30.0,28256.5,0.9989,128
RWE AG,7064.8,15735.2,618.0,4745.0,22800.0,5363.0,28163.0,0.8096,157
Ministry of Electricity (Iraq),0.0,26626.5,0.0,0.0,26626.5,0.0,26626.5,1.0000,151
Taiwan Power Co,9500.0,16317.0,251.8,394.2,25817.0,646.0,26463.0,0.9756,61
Guangdong Electric Power Development Co Ltd,16634.0,9030.3,478.6,0.0,25664.4,478.6,26143.0,0.9817,82
Entergy Corp,2579.3,20583.5,220.0,40.0,23162.8,260.0,23422.8,0.9889,56
Beijing Jingneng Power Co Ltd,20802.1,653.5,375.0,780.0,21455.6,1155.0,22610.6,0.9489,92
Berkshire Hathaway Inc,8628.8,13867.4,0.0,0.0,22496.2,0.0,22496.2,1.0000,90
Sonelgaz SpA,0.0,21507.1,61.2,0.0,21507.1,61.2,21568.3,0.9972,111
Tennessee Valley Authority,7130.2,13849.7,0.0,0.0,20979.9,0.0,20979.9,1.0000,110
American Electric Power Company Inc,11869.4,8581.5,0.0,0.0,20450.9,0.0,20450.9,1.0000,61
Xcel Energy Inc,4899.5,10234.4,230.0,4468.5,15133.9,4698.5,19832.4,0.7631,81
Dominion Energy Inc,4576.2,12078.0,2973.7,12.0,16654.2,2985.7,19639.8,0.8480,107
AES Corp,3066.8,6842.1,3254.6,4935.5,9908.9,8190.1,18099.0,0.5475,189
China Power International Development Co Ltd,12136.2,815.2,4049.0,1000.1,12951.4,5049.1,18000.5,0.7195,85
Ministry of Electricity and Water and Renewable Energy (Kuwait),0.0,17877.5,0.0,0.0,17877.5,0.0,17877.5,1.0000,54
ACWA Power Co,0.0,10539.5,5921.8,870.0,10539.5,6791.8,17331.3,0.6081,80
Adani Power Ltd,17298.0,0.0,0.0,0.0,17298.0,0.0,17298.0,1.0000,31
