gvkey,isin,ric
015321,ES0130670112,ELE.MC
016590,HK0006000050,0006.HK
017525,AU000000ORG5,ORG.AX
019774,SG1R50925390,SCIL.SI
027141,CL0002266774,ENELCHILE.SN
029039,CLP371861061,ENELAM.SN
030282,PHY5764J1483,MER.PS
030471,CL0002694637,AESANDES.SN^D24
030538,CLP3710M1090,ENELGXCH.SN
030747,CNE1000006Z4,0902.HK
030874,KR7015760002,015760.KS
060844,ARP2354W1188,CEPUm.BA
064577,BRCPLEACNOR8,CPLE3.SA
064910,PTEDP0AM0009,EDP.LS
100251,AU000000AGL7,AGL.AX
100302,JP3228600007,9503.T
100365,JP3850200001,9509.T
100439,JP3522200009,9504.T
100450,JP3526600006,9502.T
100488,JP3246400000,9508.T
100688,JP3585800000,9501.T
100690,JP3605400005,9506.T
100953,DE0007037129,RWEG.DE
100957,ES0144580Y14,IBE.MC
101148,DE0006458003,LECG.F
101769,JP3350800003,9507.T
102287,LU0011858700,SELU.LU
102311,JP3845400005,9505.T
102736,CH0020603475,CKWN.S^B15
102781,CH0039651184,NEAG.S
102797,AT0000746409,VERB.VI
102890,CH0130293662,BKWB.S
103133,AT0000741053,EVNV.VI
103148,GB0006546898,NTEA_p.L
103167,FR0000031023,EDSP.PA
103195,AT0000640552,BHAV.VI
103342,GB0007908733,SSE.L
104474,MYL4677OO000,YTLS.KL
104544,RU000A0JPNN9,FEES.MM
104652,IT0003372205,EDNn.MI
104814,MYL5347OO009,TENA.KL
107184,RU0009045652,KZBE.MM^A16
111320,BREGIEACNOR9,EGIE3.SA
120454,JMP283451095,ENERGY.JS
125457,BRGEPAACNOR2,GEPA3.SA
154941,IT0001250932,HRA.MI
174928,RU000A0D8PB4,RTSB.MM
200478,NL0009822014,NSEN.AS
200908,CLP3615W1037,COLBUN.SN
201143,INE486A01021,CESC.NS
201792,BRAXIAACNPB1,AXIA6.SA
201794,IT0003128367,ENEI.MI
201913,JO3100411011,JOEP.AM
202023,AU000000EWC5,EWC.AX
202071,PK0074901015,JPGL.PSX^L22
202082,PK0071101015,KOHN.PSX
202215,PHY2558N1203,FPH.PS
202627,CLP306321066,CGE.SN
202846,BRCLSCACNPR3,CLSC4.SA
202852,PK0000501012,KELE.PSX
202895,KE0000000349,KPLC.NR
203677,MYL7471OO005,EDEN.KL
203894,INE245A01021,TTPW.NS
203991,TH0318010Z06,NOVA.BK
204478,ARP2341J1058,CECO2m.BA
204671,CZ0005112300,CEZP.PR
205365,JP3194700005,9511.T
205879,BRCEEBACNOR3,CEEB3.SA
205949,BRCBEEACNOR3,CBEE3.SA
206024,PHY0093E1002,ACR.PS
206042,PHY0001Z1040,AEV.PS
206346,CL0001583070,ECL.SN
206615,RU0009034490,LSNG.MM
207106,BMG6804L1019,0622.HK
207224,BMG3775G1539,0451.HK
207540,BRCEBRACNPA8,CEBR5.SA
208117,INE162A01010,GJIP.NS
208929,KR7005090006,005090.KS
211378,NZTPXE0001S5,MNW.NZ^G25
211744,CNE0000006J0,000539.SZ
211761,CNE000000G62,000037.SZ
211819,GB00BDR05C01,NG.L
212022,PK0069001011,TRSP.PSX
212928,BMG2178K1009,1038.HK
212950,ARP432631215,PAMPm.BA
213126,RU0009098255,SAGO.MM
213260,CLP257751006,PEHUENCHE.SN
213284,CLP3710E1074,EDELMAG.SN
213286,CLP6298C1046,LITORAL.SN
213336,CLP584961039,TRICAHUE.SN
213382,CNE0000003H1,600821.SS
213482,PEP702521001,LUSURC1.LM
213510,CNE000000KX7,600726.SS
213862,PEP701011004,PLUZENC1.LM
216524,DE0005220008,EBKG.DE
216667,IT0001157020,ERG.MI
217202,BMG2345T1099,0182.HK
217619,BREMAEACNPR1,EMAE4.SA
220485,CL0000001801,ENELDXCH.SN
220920,FR0010242511,EDF.PA^F23
220942,FR0010208488,ENGIE.PA
221095,AU000000CCE7,CCE.AX
221132,PK0060601017,KHPW.PSX
221498,JE00B43SP147,JLEC.L
221671,RU0009046767,KUBE.MM^L24
221681,RU0009100754,SARE.MM
222357,BRCMIGACNPR3,CMIG4.SA
