gvkey,centroid_lat,centroid_lon,total_mw,n_plants,n_neighbors,w_sum,avg_dist_km
001075,33.9159,-111.5862,5355.2,35,413,0.042287,759.85
001440,35.7009,12.7396,44165.0,214,413,0.024011,1128.50
001742,33.1176,-112.5329,229.9,3,413,0.036729,823.36
001745,34.9968,-90.8175,175.0,2,413,0.076050,639.08
001828,-0.1824,44.1289,276.4,6,413,0.002462,3004.55
001995,35.3642,-93.3732,32943.8,85,413,0.071991,665.26
003210,35.3048,118.1997,252.2,12,413,0.074458,700.00
003392,37.5968,-105.0901,39.7,2,413,0.049720,809.03
003413,35.6901,-102.7918,4049.5,67,413,0.066222,655.20
003439,42.3707,-83.6564,936.0,6,413,0.093045,495.35
003897,42.4827,-83.1197,7851.1,24,413,0.094220,483.72
004029,36.5575,-79.2683,19639.8,107,413,0.058813,731.96
004093,34.0349,-83.9705,47645.7,235,413,0.073268,613.69
004241,31.5456,-106.0512,163.0,2,413,0.033480,1038.70
004331,37.4361,-94.8527,599.8,3,413,0.108765,459.95
004517,32.9738,-91.2094,67784.1,380,413,0.060169,757.35
004798,28.7112,-83.0566,5091.7,73,413,0.043081,838.70
004799,30.0941,-83.2754,224.7,3,413,0.047929,806.06
005135,32.1122,-83.1577,338.5,8,413,0.052516,794.64
005385,35.9416,-100.5171,279.0,2,413,0.085408,524.77
005525,21.3403,-158.0151,20.0,1,413,0.030039,98.30
005526,21.2074,-157.7313,1491.1,19,413,0.030042,98.65
005742,37.9129,-87.6697,1393.4,8,413,0.078119,640.56
005870,42.6000,-112.4515,1537.4,8,413,0.032382,1001.81
005914,43.0568,-83.1917,340.5,4,413,0.084852,529.61
006338,38.6825,-95.6626,11295.4,61,413,0.087811,567.45
006397,38.2494,-84.4457,3769.2,20,413,0.100897,481.24
006867,46.2430,-103.7710,19.5,1,413,0.038691,955.00
006932,43.3494,-88.9424,741.3,10,413,0.094217,500.68
007365,12.8398,-9.7975,1685.8,29,413,0.003095,2746.17
007366,31.7117,-92.0128,23422.8,56,413,0.050077,862.22
007437,47.0060,-93.6670,1010.2,5,413,0.039024,1029.83
007824,40.7184,-117.0614,101.0,1,413,0.023261,1181.75
007970,41.6823,-70.9639,84.6,2,413,0.033035,992.09
007974,40.8384,-87.1296,2264.0,6,413,0.072068,681.91
007977,40.0931,-100.0849,19832.4,81,413,0.058940,784.25
008001,45.4245,-104.8705,1127.6,12,413,0.041000,909.39
008099,39.5016,-80.1869,3204.0,5,413,0.068672,654.10
008113,35.5751,-96.5622,7381.4,27,413,0.073872,648.05
008199,46.0273,-97.7176,1274.7,10,413,0.039631,1025.33
008264,38.9615,-122.2747,1499.0,3,413,0.014961,1431.59
008290,43.1403,-108.4904,2618.9,15,413,0.059733,612.67
008455,38.4940,-85.7203,8417.2,26,413,0.088054,560.41
008539,39.5418,-95.8513,1963.1,29,413,0.081703,605.27
008806,35.1158,-106.6872,216.1,14,413,0.046917,807.81
008809,37.2895,-98.0385,288.0,2,413,0.084571,571.85
008810,38.1154,-97.3940,170.0,6,413,0.083724,584.39
009691,35.9416,-100.5171,279.0,2,413,0.085408,524.77
009828,33.9794,-84.5561,1.5,1,413,0.075220,602.16
009846,34.0674,-117.4059,1286.0,7,413,0.024611,1025.64
009850,32.9027,-85.6060,34945.5,115,413,0.059540,744.61
009902,34.5996,98.5954,23866.2,153,413,0.159786,358.79
010327,27.8360,-82.1252,1195.6,21,413,0.035067,970.89
010447,35.8822,-87.7238,20979.9,110,413,0.074132,659.66
010507,35.4648,47.4257,1131.6,14,413,0.014321,1751.20
010801,41.2015,-76.0696,146.0,1,413,0.095595,417.22
010860,38.9041,-90.3444,7341.2,44,413,0.072967,692.80
011188,34.6069,100.2655,23666.2,152,412,0.638966,89.53
011304,46.4449,-114.7991,748.4,6,413,0.027094,1015.40
011550,42.9745,-89.3309,8585.4,42,413,0.100331,476.09
011554,42.7727,-91.5154,8156.9,48,413,0.077332,620.28
012428,31.3444,-74.0197,7339.5,45,413,0.025525,1241.87
012555,40.2853,-94.1977,239.7,4,413,0.075076,661.50
012612,37.5968,-105.0901,39.7,2,413,0.049720,809.03
012749,38.8009,-76.1775,46.0,3,413,0.070586,575.52
