gvkey,fic,ets_names,has_ets
001075,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
001440,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
001742,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
001745,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
001828,CAN,Alberta TIER;BC OBPS;Canada federal OBPS;New Brunswick OBPS;Newfoundland and Labrador PSS;Nova Scotia OBPS;Ontario EPS;Quebec CaT,1
001995,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
003210,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
003392,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
003413,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
003439,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
003897,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
004029,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
004093,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
004241,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
004331,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
004517,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
004798,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
004799,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
005135,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
005385,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
005525,USA,California CaT;Colorado GHG crediting trading system;Massachusetts ETS;Oregon ETS;RGGI;Washington CCA,1
