gvkey_i,gvkey_j,w_ij
001075,001440,0.005051
001075,001742,0.091927
001075,001745,0.006709
001075,001828,0.000000
001075,001995,0.007271
001075,003210,0.005051
001075,003392,0.015133
001075,003413,0.013117
001075,003439,0.005799
001075,003897,0.005763
001075,004029,0.005577
001075,004093,0.005852
001075,004241,0.018660
001075,004331,0.007625
001075,004517,0.006738
001075,004798,0.005682
001075,004799,0.005728
001075,005135,0.005761
001075,005385,0.010641
001075,005525,0.005144
001075,005526,0.005146
001075,005742,0.006230
001075,005870,0.011289
001075,005914,0.005757
001075,006338,0.007764
001075,006397,0.005908
001075,006867,0.007757
001075,006932,0.006195
001075,007365,0.005051
001075,007366,0.006840
001075,007437,0.006376
001075,007824,0.012121
001075,007970,0.005312
001075,007974,0.006112
001075,007977,0.009154
001075,008001,0.008244
001075,008099,0.005625
001075,008113,0.008325
001075,008199,0.006969
001075,008264,0.010006
001075,008290,0.010398
001075,008455,0.006018
001075,008539,0.007717
001075,008806,0.023306
001075,008809,0.008856
001075,008810,0.008450
001075,009691,0.010641
001075,009828,0.005899
001075,009846,0.020236
001075,009850,0.005976
001075,009902,0.005051
001075,010327,0.005608
001075,010447,0.006245
001075,010507,0.005051
001075,010801,0.005449
001075,010860,0.006573
001075,011188,0.005051
001075,011304,0.008165
001075,011550,0.006255
001075,011554,0.006527
001075,012428,0.005346
001075,012555,0.007210
001075,012612,0.015133
001075,012749,0.005454
001075,013353,0.005051
001075,013948,0.005882
001075,014390,0.056862
001075,014391,0.000354
001075,014433,0.001382
001075,014580,0.005885
001075,015321,0.000003
001075,016590,0.000000
001075,017525,0.000000
001075,018293,0.049084
001075,019774,0.000000
001075,020739,0.007523
001075,023465,0.010836
001075,025588,0.005940
001075,025792,0.000394
001075,026658,0.011053
001075,026676,0.000000
001075,027141,0.000005
001075,029039,0.000071
001075,030282,0.000000
001075,030471,0.000006
001075,030538,0.000005
001075,030747,0.000000
001075,030874,0.000001
001075,036790,0.000704
001075,039049,0.000009
001075,040614,0.007271
001075,043737,0.005500
001075,060844,0.000002
001075,064577,0.000003
001075,064625,0.000027
001075,064910,0.000003
001075,065092,0.016636
001075,065095,0.006299
001075,065298,0.007031
001075,066624,0.005051
001075,100182,0.000000
001075,100251,0.000000
001075,100302,0.000000
001075,100365,0.000000
001075,100439,0.000000
001075,100450,0.000001
001075,100488,0.000000
001075,100688,0.000001
001075,100690,0.000001
001075,100953,0.000003
001075,100957,0.000002
001075,101769,0.000000
001075,102311,0.000000
001075,102797,0.000002
001075,102880,0.000001
001075,103124,0.000000
001075,103133,0.000002
001075,103167,0.000001
001075,103342,0.000005
001075,104474,0.000000
001075,104652,0.000001
001075,104814,0.000000
001075,105632,0.000018
001075,111320,0.000003
001075,114789,0.015133
001075,115687,0.009483
001075,116304,0.005052
001075,120454,0.000000
001075,123456,0.001032
001075,127675,0.005497
001075,135990,0.005859
001075,136684,0.005559
001075,144096,0.000330
001075,144580,0.005942
001075,144646,0.012510
001075,146411,0.005051
001075,146774,0.010981
001075,152430,0.005051
001075,154941,0.000001
001075,155277,0.005051
001075,156656,0.006334
001075,156676,0.005500
001075,156818,0.023306
001075,156819,0.008002
001075,156820,0.005309
001075,157373,0.006499
001075,160913,0.029144
001075,163429,0.008277
001075,163669,0.005051
001075,179216,0.002558
001075,180942,0.005518
001075,183187,0.001821
001075,185429,0.005051
001075,200478,0.000001
001075,200908,0.000005
001075,201143,0.000000
001075,201794,0.000001
001075,201795,0.000005
001075,201913,0.000000
001075,202012,0.000005
001075,202019,0.000000
001075,202023,0.000000
001075,202071,0.000000
001075,202082,0.000000
001075,202852,0.000000
001075,203496,0.000001
001075,203894,0.000000
001075,205365,0.000000
001075,206024,0.000000
001075,206346,0.000008
001075,206355,0.000005
001075,207224,0.000001
001075,208117,0.000000
001075,208929,0.000001
001075,211744,0.000000
001075,211761,0.000000
001075,211819,0.000515
001075,212928,0.000005
001075,212950,0.000002
001075,213284,0.000005
001075,213510,0.000001
001075,213559,0.000003
001075,216524,0.000003
001075,216667,0.000002
001075,217202,0.000001
001075,217619,0.000002
001075,220454,0.000000
001075,220942,0.000001
001075,221095,0.000048
001075,221498,0.000004
001075,222601,0.000002
001075,223040,0.000000
001075,223041,0.000000
001075,225597,0.000001
001075,227226,0.000113
001075,227480,0.000000
001075,227916,0.000000
001075,232532,0.000002
001075,233257,0.000001
001075,239577,0.000000
001075,241845,0.000002
001075,243860,0.000000
001075,244341,0.000002
001075,244394,0.000003
001075,246094,0.000001
001075,246598,0.000001
001075,246858,0.000000
001075,247493,0.000345
001075,247617,0.000000
001075,247642,0.000000
001075,248166,0.000002
001075,248838,0.000089
001075,249456,0.000000
001075,249638,0.000001
001075,249946,0.000000
001075,251319,0.000000
001075,251373,0.000001
001075,251378,0.000000
001075,251720,0.000002
001075,252355,0.000000
001075,252586,0.000000
001075,253727,0.000000
001075,257082,0.000000
001075,258639,0.000000
001075,259541,0.000000
001075,260021,0.000000
001075,260062,0.000000
001075,260071,0.000000
001075,260185,0.000000
001075,268325,0.000000
001075,268844,0.000003
001075,269005,0.000002
001075,269269,0.000000
001075,269532,0.000001
001075,270113,0.000001
001075,270379,0.000000
001075,270383,0.000000
001075,270503,0.000000
001075,270655,0.002333
001075,270698,0.000001
001075,270721,0.000000
001075,271031,0.000000
001075,271168,0.000000
001075,271174,0.000000
001075,271486,0.000000
001075,271762,0.000000
001075,271952,0.000000
001075,272031,0.000000
001075,272146,0.000000
001075,272184,0.000000
001075,272200,0.000000
001075,272290,0.000000
001075,272327,0.000000
001075,272468,0.000001
001075,272651,0.000003
001075,274166,0.000000
001075,274222,0.000000
001075,274724,0.000016
001075,274890,0.000005
001075,275034,0.000000
001075,275247,0.000388
