gvkey_i,gvkey_j,w_ij
001075,001828,0.005876
001075,001995,0.007451
001075,003413,0.007195
001075,003439,0.007797
001075,003897,0.006329
001075,004029,0.007451
001075,004093,0.006566
001075,005526,0.007451
001075,005742,0.006226
001075,005870,0.008681
001075,006338,0.005408
001075,006397,0.001776
001075,006932,0.006925
001075,007365,0.007451
001075,007366,0.008468
001075,007437,0.002836
001075,007970,0.002138
001075,007974,0.005351
001075,007977,0.006538
001075,008001,0.006375
001075,008099,0.001776
001075,008113,0.008429
001075,008264,0.007451
001075,008455,0.005240
001075,008539,0.005652
001075,009846,0.007451
001075,009850,0.008465
001075,010447,0.007868
001075,010507,0.001776
001075,010801,0.007451
001075,010860,0.006179
001075,011304,0.008126
001075,011554,0.005471
001075,012428,0.006145
001075,013948,0.006788
001075,014390,0.007564
001075,014391,0.004999
001075,014433,0.007451
001075,015321,0.007451
001075,016590,0.007451
001075,017525,0.006235
001075,018293,0.007451
001075,019774,0.009009
001075,025792,0.008810
001075,026658,0.007451
001075,029039,0.001776
001075,030282,0.006329
001075,030471,0.005694
001075,030538,0.007451
001075,040614,0.007451
001075,043737,0.007939
001075,060844,0.007451
001075,064910,0.007451
001075,100182,0.006698
001075,100251,0.003415
001075,100953,0.006932
001075,100957,0.005574
001075,102797,0.006377
001075,103167,0.007451
001075,103342,0.007451
001075,104474,0.007914
001075,104652,0.007451
001075,104814,0.005617
001075,116304,0.001776
001075,123456,0.007451
001075,127675,0.008930
001075,135990,0.005862
001075,144096,0.007451
001075,146411,0.007451
001075,154941,0.007451
001075,156676,0.007939
001075,157373,0.008632
001075,163429,0.001776
001075,163669,0.001776
001075,179216,0.007451
001075,185429,0.001776
001075,200908,0.005895
001075,201143,0.001776
001075,201794,0.008071
001075,201795,0.007451
001075,202012,0.007451
001075,202023,0.007451
001075,202082,0.007451
001075,202852,0.007451
001075,206024,0.007221
001075,206355,0.007451
001075,208117,0.004209
001075,208929,0.001776
001075,212928,0.007451
001075,212950,0.007451
001075,213284,0.007451
001075,213559,0.005916
001075,216524,0.003710
001075,216667,0.000427
001075,217619,0.007451
001075,220454,0.002251
001075,220942,0.006292
001075,222601,0.007451
001075,223040,0.007175
001075,223041,0.001776
001075,225597,0.002972
001075,227916,0.007451
001075,244341,0.007451
001075,244394,0.003634
001075,246094,0.007451
001075,247493,0.007451
001075,247617,0.004365
001075,247642,0.001776
001075,248166,0.008047
001075,248838,0.007451
001075,249946,0.002262
001075,251720,0.001776
001075,253727,0.001776
001075,258639,0.007879
001075,268325,0.002572
001075,269005,0.007451
001075,269532,0.005150
001075,272468,0.001776
001075,274166,0.007451
001075,274222,0.007451
001075,274890,0.007451
001075,275034,0.007451
001075,277963,0.007451
001075,278333,0.001776
001075,278760,0.008715
