gvkey_i,gvkey_j,w_ij
001075,001440,0.0044899032
001075,001828,0.0035456159
001075,001995,0.0035627723
001075,003413,0.0035456159
001075,003439,0.0040660811
001075,003897,0.0047855757
001075,004029,0.0064847325
001075,004093,0.0061481280
001075,004517,0.0041076996
001075,005526,0.0035456159
001075,005742,0.0048644351
001075,005870,0.0057162881
001075,005914,0.0033799528
001075,006338,0.0055128655
001075,006397,0.0049481566
001075,006932,0.0039176883
001075,007365,0.0037145989
001075,007366,0.0049662816
001075,007437,0.0031014692
001075,007974,0.0064730867
001075,007977,0.0062495422
001075,008001,0.0039150863
001075,008099,0.0063900703
001075,008113,0.0062191993
001075,008199,0.0032946422
001075,008264,0.0035456159
001075,008455,0.0044465395
001075,008539,0.0018110715
001075,009846,0.0054065019
001075,009850,0.0060360560
001075,009902,0.0042111708
001075,010447,0.0057836974
001075,010507,0.0004517422
001075,010801,0.0035456159
001075,010860,0.0056465994
001075,011188,0.0042289165
001075,011304,0.0047003710
001075,011550,0.0051007080
001075,011554,0.0046914125
001075,012428,0.0044271230
001075,013353,0.0042143237
001075,013948,0.0058496851
001075,014390,0.0044476893
001075,014391,0.0031983288
001075,014433,0.0035456159
001075,014580,0.0035404839
001075,015321,0.0055931700
001075,016590,0.0035456159
001075,017525,0.0040509853
001075,018293,0.0016955397
001075,019774,0.0052828327
001075,025792,0.0062562205
001075,026658,0.0035456159
001075,029039,0.0031014692
001075,030282,0.0058490416
001075,030471,0.0037446472
001075,030538,0.0063065407
001075,030747,0.0037988798
001075,030874,0.0047407104
001075,040614,0.0035627723
001075,043737,0.0041521526
001075,060844,0.0035456159
001075,064625,0.0009231312
001075,064910,0.0059036047
001075,066624,0.0042289165
001075,100182,0.0041375383
001075,100251,0.0045831632
001075,100302,0.0054510822
001075,100365,0.0042000099
001075,100439,0.0046033075
001075,100450,0.0058802023
001075,100488,0.0057252042
001075,100688,0.0059842048
001075,100690,0.0046740081
001075,100953,0.0038633491
001075,100957,0.0026213360
001075,101769,0.0046812098
001075,102311,0.0042110355
001075,102797,0.0053887972
001075,103124,0.0038345544
001075,103133,0.0056117852
001075,103167,0.0037982999
001075,103342,0.0056243229
001075,104474,0.0058227923
001075,104652,0.0035456159
001075,104814,0.0059792239
001075,111320,0.0000158461
001075,116304,0.0036877367
001075,123456,0.0059783925
001075,127675,0.0054739717
001075,135990,0.0052652874
001075,144096,0.0035456159
001075,144646,0.0059009822
001075,146411,0.0035456159
001075,152430,0.0002144830
001075,154941,0.0035456159
001075,155277,0.0042289165
001075,156676,0.0041521526
001075,156820,0.0032910993
001075,157373,0.0063479729
001075,163429,0.0031014692
001075,163669,0.0025294217
001075,179216,0.0035456159
001075,183187,0.0042789085
001075,185429,0.0031014692
001075,200478,0.0027157619
001075,200908,0.0025099371
001075,201143,0.0031014692
001075,201794,0.0064761374
001075,201913,0.0042289165
001075,202023,0.0035456159
001075,202071,0.0058208474
001075,202852,0.0056983242
001075,203894,0.0031833578
001075,205365,0.0042785118
001075,206346,0.0049909208
001075,207224,0.0027016260
001075,208117,0.0041266415
001075,208929,0.0031014692
001075,211744,0.0044361953
001075,211761,0.0035456159
001075,211819,0.0035456159
001075,212928,0.0035456159
001075,212950,0.0035456159
001075,213510,0.0025250970
001075,213559,0.0035456159
001075,216524,0.0039768848
001075,216667,0.0004954909
001075,217202,0.0025973887
001075,217619,0.0035456159
001075,220454,0.0031014692
001075,220942,0.0045016621
001075,221095,0.0001914520
001075,222601,0.0047380450
001075,223040,0.0047038914
001075,223041,0.0031014692
001075,225597,0.0036068825
001075,227226,0.0057047002
001075,227480,0.0041939582
001075,227916,0.0031619440
001075,244341,0.0035456159
001075,244394,0.0031784759
001075,246094,0.0035456159
001075,246598,0.0024117742
001075,247493,0.0035456159
001075,247617,0.0042266334
001075,247642,0.0052113250
001075,248166,0.0052995291
001075,248838,0.0035456159
001075,249638,0.0040811728
001075,249946,0.0031014692
001075,251319,0.0039351685
001075,251373,0.0031014692
001075,251378,0.0053889943
001075,251720,0.0004316289
001075,252355,0.0033552200
001075,252586,0.0046978147
001075,253727,0.0031014692
001075,257082,0.0031014692
001075,258639,0.0047222693
001075,259541,0.0032543599
001075,260021,0.0035141137
001075,260071,0.0042289165
001075,268325,0.0034861864
001075,269269,0.0021066392
001075,269532,0.0040852937
001075,270113,0.0031035056
001075,270379,0.0046888327
001075,270383,0.0037872568
001075,270503,0.0022712136
001075,270698,0.0032057029
001075,270721,0.0057148770
001075,271031,0.0040802519
001075,271168,0.0031014692
001075,272031,0.0066168087
001075,272290,0.0031014692
001075,272327,0.0030463023
001075,272468,0.0031014692
001075,274166,0.0054868000
001075,274222,0.0035456159
001075,274724,0.0045425678
001075,274890,0.0065131656
001075,275034,0.0035456159
001075,277963,0.0033512278
001075,278333,0.0031014692
001075,278760,0.0059968873
001075,278784,0.0049548918
001075,279336,0.0032391316
001075,281492,0.0035456159
001075,282044,0.0057335538
001075,282813,0.0038934284
001075,285323,0.0058208474
001075,285367,0.0046294913
001075,285686,0.0037394752
001075,285711,0.0045819502
001075,286048,0.0008642511
001075,286434,0.0031014692
001075,286567,0.0031014692
001075,287670,0.0054057300
001075,287673,0.0062681703
001075,287783,0.0035456159
001075,287982,0.0001802942
001075,288013,0.0031014692
001075,288946,0.0031014692
001075,289434,0.0056743812
001075,290445,0.0031014692
001075,291049,0.0062750390
001075,293530,0.0036779342
001075,293879,0.0035456159
001075,294656,0.0015732746
001075,294966,0.0034787165
001075,296299,0.0036171416
001075,298150,0.0041302577
001075,302945,0.0035456159
001075,315416,0.0035456159
001075,315641,0.0034485943
001075,317115,0.0052814271
001075,317221,0.0027157619
001075,319717,0.0061718000
001075,319800,0.0002034822
001075,321632,0.0062709011
001075,321729,0.0046417582
001075,322735,0.0031014692
001075,323569,0.0063092638
001075,325699,0.0035456159
001075,326073,0.0036860255
001075,326109,0.0026840229
001075,326162,0.0057047002
001075,326582,0.0064920280
001075,326989,0.0031014692
001075,330174,0.0014599049
001075,332452,0.0039345410
001075,333753,0.0024242310
001075,338892,0.0032391316
001075,339091,0.0035456159
001075,345688,0.0049581361
001075,346354,0.0001661771
001075,347411,0.0035456159
001075,350155,0.0031014692
001075,350431,0.0035456159
001075,350660,0.0028501754
001075,351744,0.0027157619
001075,352018,0.0032614646
001075,354081,0.0035456159
001075,354786,0.0035456159
001075,356341,0.0031032097
001075,356860,0.0066168087
001075,358171,0.0031014692
001075,359662,0.0031014692
001075,367697,0.0012332101
001075,368841,0.0002034822
001440,001075,0.0045328994
001440,001828,0.0014781792
001440,001995,0.0014357378
001440,003210,0.0003974782
001440,003392,0.0003974782
001440,003413,0.0015909446
001440,003439,0.0019271793
001440,003897,0.0062368115
001440,004029,0.0044691147
001440,004093,0.0049945415
001440,004241,0.0000764492
001440,004517,0.0027363379
001440,004798,0.0004739274
001440,005385,0.0003974782
001440,005526,0.0014017300
001440,005742,0.0062368115
001440,005870,0.0054726098
001440,005914,0.0051162320
001440,006338,0.0056779804
001440,006397,0.0062179474
001440,006867,0.0003974782
001440,006932,0.0056591170
001440,007365,0.0015723313
001440,007366,0.0028597386
001440,007437,0.0048350815
001440,007974,0.0047085640
001440,007977,0.0049342492
001440,008001,0.0058130635
001440,008099,0.0047923754
001440,008113,0.0041009162
001440,008199,0.0047059249
001440,008264,0.0014017300
001440,008290,0.0003974782
001440,008455,0.0061930325
001440,008539,0.0017992082
001440,008806,0.0000764492
001440,008810,0.0000764492
001440,009691,0.0003974782
001440,009846,0.0032804363
001440,009850,0.0051497798
001440,009902,0.0062136211
001440,010327,0.0000764492
001440,010447,0.0054045551
001440,010507,0.0009299956
001440,010801,0.0014017300
001440,010860,0.0055429659
001440,011188,0.0063054068
001440,011304,0.0064562191
001440,011550,0.0060940848
001440,011554,0.0064024328
001440,012428,0.0026964033
001440,012555,0.0003974782
001440,012612,0.0003974782
001440,012749,0.0000764492
001440,013353,0.0062299287
001440,013948,0.0051433459
001440,014390,0.0064961861
001440,014391,0.0036698756
001440,014433,0.0014017300
001440,014580,0.0017992082
001440,015321,0.0049038845
001440,016590,0.0014017300
001440,017525,0.0039770957
001440,018293,0.0018756574
001440,019774,0.0049035682
001440,020739,0.0003974782
001440,023465,0.0004739274
001440,025792,0.0049275069
001440,026658,0.0017992082
001440,026676,0.0003775090
001440,027141,0.0004739274
001440,029039,0.0048350815
001440,030282,0.0037272138
001440,030471,0.0038569560
001440,030538,0.0041890940
001440,030747,0.0057309105
001440,030874,0.0059030253
001440,036790,0.0003974782
001440,039049,0.0004739274
001440,040614,0.0014357378
001440,043737,0.0059722757
001440,060844,0.0014570009
001440,064577,0.0000764492
001440,064625,0.0014058987
001440,064910,0.0052834995
001440,065092,0.0000764492
001440,065095,0.0004739274
001440,065298,0.0003974782
001440,066624,0.0063054068
001440,100182,0.0058810723
001440,100251,0.0061831823
