gvkey_i,gvkey_j,w_reg
001075,006932,0.010101
001075,007366,0.010101
001075,004798,0.010101
001075,156676,0.010101
001075,011188,0.010101
001075,003392,0.010101
001075,006867,0.010101
001075,011550,0.010101
001075,144580,0.010101
001075,004799,0.010101
001075,008099,0.010101
001075,001440,0.010101
001075,008810,0.010101
001075,007437,0.010101
001075,004517,0.010101
001075,008290,0.010101
001075,157373,0.010101
001075,012428,0.010101
001075,003413,0.010101
001075,011554,0.010101
001075,025588,0.010101
001075,004093,0.010101
001075,007365,0.010101
001075,007974,0.010101
001075,005135,0.010101
001075,066624,0.010101
001075,009828,0.010101
001075,007824,0.010101
001075,115687,0.010101
001075,010447,0.010101
001075,005525,0.010101
001075,006397,0.010101
001075,001995,0.010101
001075,009850,0.010101
001075,156818,0.010101
001075,010507,0.010101
001075,023465,0.010101
001075,146411,0.010101
001075,005526,0.010101
001075,013948,0.010101
001075,180942,0.010101
001075,163429,0.010101
001075,008113,0.010101
001075,043737,0.010101
001075,005385,0.010101
001075,020739,0.010101
001075,026658,0.010101
001075,009846,0.010101
001075,156820,0.010101
001075,008809,0.010101
001075,160913,0.010101
001075,001742,0.010101
001075,003210,0.010101
001075,003897,0.010101
001075,008539,0.010101
001075,013353,0.010101
001075,009691,0.010101
001075,010801,0.010101
001075,008001,0.010101
001075,012555,0.010101
001075,008455,0.010101
001075,065298,0.010101
001075,116304,0.010101
001075,152430,0.010101
001075,004029,0.010101
001075,009902,0.010101
001075,011304,0.010101
001075,156656,0.010101
001075,146774,0.010101
001075,065095,0.010101
001075,012612,0.010101
001075,005914,0.010101
001075,163669,0.010101
001075,008264,0.010101
001075,065092,0.010101
001075,185429,0.010101
001075,012749,0.010101
001075,156819,0.010101
001075,007977,0.010101
001075,018293,0.010101
001075,040614,0.010101
001075,006338,0.010101
001075,004331,0.010101
001075,010860,0.010101
001075,127675,0.010101
001075,155277,0.010101
001075,144646,0.010101
001075,004241,0.010101
001075,008806,0.010101
001075,001745,0.010101
001075,007970,0.010101
001075,010327,0.010101
001075,114789,0.010101
001075,005742,0.010101
001075,014580,0.010101
001075,003439,0.010101
