gvkey,datadate,price,ret_monthly
001075,2010-06-30,36.3600,0.035602
001075,2010-07-31,38.0900,0.062019
001075,2010-08-31,39.8500,0.046206
001075,2010-09-30,41.2700,0.035634
001075,2010-10-31,41.1600,0.010056
001075,2010-11-30,40.4200,-0.017979
001075,2010-12-31,41.4500,0.025482
001075,2011-01-31,40.7100,-0.005187
001075,2011-02-28,42.2300,0.037337
001075,2011-03-31,42.7900,0.013261
001075,2011-04-30,43.3900,0.026291
001075,2011-05-31,45.2600,0.043097
001075,2011-06-30,44.5800,-0.015024
001075,2011-07-31,42.3500,-0.038246
001075,2011-08-31,44.2400,0.044628
001075,2011-09-30,42.9400,-0.029385
001075,2011-10-31,45.5800,0.073707
001075,2011-11-30,47.4100,0.040149
001075,2011-12-31,48.1800,0.016241
001075,2012-01-31,47.2600,-0.008198
001075,2012-02-29,47.0300,-0.004867
001075,2012-03-31,47.9000,0.018499
001075,2012-04-30,48.3500,0.020355
001075,2012-05-31,49.3800,0.021303
001075,2012-06-30,51.7400,0.047793
001075,2012-07-31,53.5400,0.044936
001075,2012-08-31,51.3700,-0.040530
001075,2012-09-30,52.8000,0.027837
001075,2012-10-31,52.9700,0.013542
001075,2012-11-30,51.4600,-0.028507
001075,2012-12-31,50.9800,-0.009328
001075,2013-01-31,53.3800,0.057768
001075,2013-02-28,55.9400,0.047958
001075,2013-03-31,57.8900,0.034859
001075,2013-04-30,60.9000,0.061410
001075,2013-05-31,56.4800,-0.072578
001075,2013-06-30,55.4700,-0.017882
001075,2013-07-31,58.9000,0.071660
001075,2013-08-31,54.2700,-0.078608
001075,2013-09-30,54.7400,0.008660
001075,2013-10-31,56.0300,0.033933
001075,2013-11-30,53.3600,-0.047653
001075,2013-12-31,52.9200,-0.008246
001075,2014-01-31,52.6300,0.005244
001075,2014-02-28,55.6500,0.057382
001075,2014-03-31,54.6600,-0.017790
001075,2014-04-30,55.9500,0.023600
001075,2014-05-31,55.4200,0.000670
001075,2014-06-30,57.8400,0.043667
001075,2014-07-31,53.4900,-0.065396
001075,2014-08-31,56.9500,0.064685
001075,2014-09-30,54.6400,-0.040562
001075,2014-10-31,61.4700,0.135889
001075,2014-11-30,63.2300,0.028632
001075,2014-12-31,68.3100,0.080342
001075,2015-01-31,70.1800,0.036085
001075,2015-02-28,64.0800,-0.086919
001075,2015-03-31,63.7500,-0.005150
001075,2015-04-30,61.2000,-0.030667
001075,2015-05-31,60.9200,-0.004575
001075,2015-06-30,56.8900,-0.066152
001075,2015-07-31,61.7100,0.095184
001075,2015-08-31,59.5300,-0.035327
001075,2015-09-30,64.1400,0.077440
001075,2015-10-31,63.5100,-0.000078
001075,2015-11-30,63.3600,-0.002362
001075,2015-12-31,64.4800,0.017677
001075,2016-01-31,66.3100,0.038074
001075,2016-02-29,68.8300,0.038003
001075,2016-03-31,75.0700,0.090658
001075,2016-04-30,72.6500,-0.023911
001075,2016-05-31,73.5900,0.012939
