gvkey,year,n_points,slope_log,trend_group
015321,2016,2,0.247311,rising
015321,2017,3,0.101553,rising
015321,2018,3,-0.034688,declining
015321,2019,3,-0.048519,declining
015321,2020,3,-0.310123,declining
015321,2021,3,-0.488998,declining
015321,2022,3,-0.258444,declining
015321,2023,3,-0.128216,declining
015321,2024,3,-0.049978,declining
017525,2016,2,0.380873,rising
017525,2017,3,0.252790,rising
017525,2018,3,-0.018580,stable
017525,2019,3,-0.067038,declining
017525,2020,3,0.036516,rising
017525,2021,3,0.039651,rising
017525,2022,3,-0.016712,stable
017525,2023,3,-0.144749,declining
017525,2024,3,-0.134150,declining
019774,2016,2,0.390529,rising
019774,2017,3,0.691541,rising
019774,2018,3,0.586276,rising
019774,2019,3,0.004431,stable
019774,2020,3,0.227862,rising
019774,2021,3,0.417804,rising
019774,2022,3,0.026786,rising
019774,2023,3,-0.195895,declining
019774,2024,3,-0.516261,declining
029039,2016,2,-0.028521,declining
029039,2017,3,-0.081877,declining
029039,2018,3,-0.242244,declining
029039,2019,3,-0.344759,declining
029039,2020,3,-0.206327,declining
029039,2021,3,0.020264,rising
029039,2022,3,-0.023112,declining
029039,2023,3,-0.059426,declining
029039,2024,3,-0.091708,declining
030471,2016,2,-0.033049,declining
030471,2017,3,0.057135,rising
030471,2018,3,0.320340,rising
030471,2019,3,0.198287,rising
030471,2020,3,-0.058602,declining
030471,2021,3,-0.071675,declining
030471,2022,3,-0.184878,declining
030471,2023,3,-0.144761,declining
030471,2024,2,-0.042697,declining
030538,2016,2,-0.018117,stable
030538,2017,3,0.174656,rising
030538,2018,2,0.367429,rising
030538,2021,2,-0.172643,declining
030538,2022,3,-0.070100,declining
030538,2023,2,0.032443,rising
030874,2016,2,-0.032401,declining
030874,2017,3,-0.035147,declining
030874,2018,3,0.015835,stable
030874,2019,3,0.000079,stable
030874,2020,3,-0.058230,declining
030874,2021,3,-0.098871,declining
030874,2022,3,2.435137,rising
030874,2023,3,2.536884,rising
030874,2024,3,-0.051124,declining
064577,2016,2,0.360502,rising
064577,2017,3,0.025249,rising
064577,2018,3,-0.166110,declining
064577,2019,3,-0.137342,declining
064577,2020,3,-0.365100,declining
064577,2021,3,-0.274411,declining
064577,2022,3,0.277780,rising
064577,2023,3,-0.056908,declining
064577,2024,3,-0.366867,declining
064910,2016,2,0.427695,rising
064910,2017,3,0.187876,rising
064910,2018,3,-0.025995,declining
064910,2019,3,-0.077990,declining
064910,2020,3,-0.146710,declining
064910,2021,3,-0.255846,declining
064910,2022,3,-0.209215,declining
064910,2023,3,-0.188294,declining
064910,2024,3,-0.446156,declining
100251,2016,2,-0.134807,declining
100251,2017,3,0.356332,rising
100251,2018,3,0.479919,rising
100251,2019,3,-0.019392,stable
100251,2020,3,-0.069953,declining
100251,2021,3,0.011849,stable
100251,2022,3,0.051578,rising
100251,2023,3,0.031889,rising
100251,2024,3,-0.074245,declining
100302,2016,2,-0.344142,declining
100302,2017,3,-0.224664,declining
100302,2018,3,-0.049105,declining
100302,2019,3,-0.132373,declining
100302,2020,3,-0.209609,declining
100302,2021,3,-0.106549,declining
100302,2022,3,0.031530,rising
100302,2023,3,0.060036,rising
100302,2024,3,-0.138832,declining
100365,2016,2,-0.018193,stable
100365,2017,3,0.008973,stable
100365,2018,3,-0.066561,declining
100365,2019,3,-0.137510,declining
100365,2020,3,-0.109937,declining
100365,2021,3,-0.109145,declining
100365,2022,3,-0.119625,declining
100365,2023,3,-0.059056,declining
100365,2024,3,0.159205,rising
100439,2016,2,0.087364,rising
100439,2017,3,0.021755,rising
100439,2018,3,-0.013692,stable
100439,2019,3,-0.373755,declining
100439,2020,3,-0.406015,declining
100439,2021,3,-0.059678,declining
100439,2022,3,-0.053113,declining
100439,2023,3,0.130637,rising
100439,2024,3,0.021340,rising
100450,2016,2,0.345782,rising
100450,2017,3,0.156619,rising
100450,2018,3,-0.031318,declining
100450,2019,3,0.039795,rising
100450,2020,3,-0.028148,declining
100450,2021,3,-0.122669,declining
100450,2022,3,-1.523241,declining
100450,2023,3,-1.450799,declining
100450,2024,3,0.186910,rising
100488,2016,2,0.042632,rising
100488,2017,3,-0.285235,declining
100488,2018,3,-0.309921,declining
100488,2019,3,-0.082250,declining
100488,2020,3,-0.275983,declining
100488,2021,3,-0.170779,declining
100488,2022,3,0.255414,rising
100488,2023,3,0.091206,rising
100488,2024,3,-0.063556,declining
100688,2016,2,-0.008848,stable
100688,2017,3,-0.128874,declining
100688,2018,3,-0.130199,declining
100688,2019,3,0.057751,rising
100688,2020,3,-0.032228,declining
100688,2021,3,-0.147472,declining
100688,2022,3,-1.360821,declining
100688,2023,3,-1.320105,declining
100688,2024,3,0.133672,rising
100953,2016,2,0.086172,rising
100953,2017,3,0.090078,rising
100953,2018,3,0.491144,rising
100953,2019,3,0.439120,rising
100953,2020,3,-0.114417,declining
100953,2021,3,-0.310309,declining
100953,2022,3,-0.357201,declining
100953,2023,3,-0.372313,declining
100953,2024,3,-0.243022,declining
100957,2016,2,0.094938,rising
100957,2017,3,0.081957,rising
100957,2018,3,-0.290941,declining
100957,2019,3,-0.475528,declining
100957,2020,3,-0.188415,declining
100957,2021,3,-0.030845,declining
100957,2022,3,-0.046858,declining
100957,2023,3,-0.270865,declining
100957,2024,3,-0.163062,declining
101769,2016,2,0.051509,rising
101769,2017,3,-0.024707,declining
101769,2018,3,-0.196791,declining
101769,2019,3,-0.209739,declining
101769,2020,3,-0.090045,declining
101769,2021,3,-0.293752,declining
101769,2022,3,-0.170663,declining
101769,2023,3,0.262110,rising
101769,2024,3,-0.009641,stable
102311,2016,2,0.139188,rising
102311,2017,3,0.072826,rising
102311,2018,3,0.066509,rising
102311,2019,3,-0.001959,stable
102311,2020,3,-0.048203,declining
102311,2021,3,-0.081840,declining
102311,2022,3,-0.115358,declining
102311,2023,3,-0.108194,declining
102311,2024,3,-0.007153,stable
102797,2016,2,0.024594,rising
102797,2017,3,-0.173667,declining
102797,2018,3,-0.125528,declining
102797,2019,3,0.025990,rising
102797,2020,3,-0.297224,declining
102797,2021,3,-0.448868,declining
102797,2022,3,-0.475200,declining
102797,2023,3,-0.493460,declining
102797,2024,3,-0.437171,declining
103342,2016,2,-0.340874,declining
103342,2017,3,-0.189060,declining
