gem_id,plant_name,country,parent_raw,ret_year,event_date,capacity_mw,lat,lon,matched_gvkeys,is_matched,is_first_mover,announcement_date,announcement_source
G100000100202,Anglesea power station,Australia,Alcoa Corp [100.0%],2015,,160.0,-38.38655,144.182062,,False,True,,
G100000101159,Callide Oxyfuel Project,Australia,CS Energy Ltd [100.0%],2015,,30.0,-24.347222,150.617115,,False,True,,
G100000106055,Kwinana power station,Australia,Verve Energy [100.0%],2015,,200.0,-32.198337,115.775155,,False,True,,
G100000106056,Kwinana power station,Australia,Verve Energy [100.0%],2015,,200.0,-32.198337,115.775155,,False,True,,
G100000102476,Duernrohr power station,Austria,Verbund AG [100.0%],2015,2015-04-30,450.0,48.32611,15.923333,102797,True,True,2014-05-14,Verbund supervisory board confirmation 2014-05-14
G100000110558,Varna power station,Bulgaria,SIGDA OOD [100.0%],2015,,210.0,43.19477,27.765472,,False,True,,
G100000110559,Varna power station,Bulgaria,SIGDA OOD [100.0%],2015,,210.0,43.19477,27.765472,,False,True,,
G100000110560,Varna power station,Bulgaria,SIGDA OOD [100.0%],2015,,210.0,43.19477,27.765472,,False,True,,
G100000110563,Varna power station,Bulgaria,SIGDA OOD [100.0%],2015,,210.0,43.19477,27.765472,,False,True,,
G100000100702,Beijing Jingneng power station,China,Beijing Jingneng Power Co Ltd [100.0%],2015,,50.0,39.937968,116.138564,,False,True,,
G100000100703,Beijing Jingneng power station,China,Beijing Jingneng Power Co Ltd [100.0%],2015,,100.0,39.937968,116.138564,,False,True,,
G100000100704,Beijing Yire power station,China,GD POWER Development Co Ltd [40.2%]; CLP China (Tianjin) [30.0%]; China Shenhua Energy Co Ltd [29.8%],2015,2015-03-20,200.0,39.910164,116.479132,271031,True,True,2013-09-15,Beijing Clean Air Action Plan 2013-2017; Sep 2013
G100000100705,Beijing Yire power station,China,GD POWER Development Co Ltd [40.2%]; CLP China (Tianjin) [30.0%]; China Shenhua Energy Co Ltd [29.8%],2015,2015-03-20,200.0,39.910164,116.479132,271031,True,True,2013-09-15,Beijing Clean Air Action Plan 2013-2017; Sep 2013
G100000101406,Chentangzhuang power station,China,Tianjin STATE-OWNED CAPITAL Investment and Management Co Ltd [100.0%],2015,,135.0,39.0538218,117.2370069,,False,True,,
G100000101407,Chentangzhuang power station,China,Tianjin STATE-OWNED CAPITAL Investment and Management Co Ltd [100.0%],2015,,300.0,39.0538218,117.2370069,,False,True,,
G100000101408,Chentangzhuang power station,China,Tianjin STATE-OWNED CAPITAL Investment and Management Co Ltd [100.0%],2015,,300.0,39.0538218,117.2370069,,False,True,,
G100000101541,Chongqing power station,China,China Energy Investment Corp [100.0%],2015,2015-06-15,200.0,29.483456,106.538984,270113;356341,True,True,2014-06-15,Chinese provincial coal phase-down plan ~2014
G100000101925,Dalian Chemical power station,China,MINGYUAN HOLDINGS Group Co Ltd [51.0%]; unknown [27.3%]; Dalian State Owned Capital Management and Operation Co Ltd [15.9%]; Bank of China Ltd [5.8%],2015,,50.0,38.968046,121.625882,,False,True,,
G100000104108,Fujian Shaowu power station,China,China Huadian Corp Ltd [100.0%],2015,,125.0,27.3866923,117.4607848,,False,True,,
G100000104109,Fujian Shaowu power station,China,China Huadian Corp Ltd [100.0%],2015,,125.0,27.3866923,117.4607848,,False,True,,
G100000102848,Fushun CHP power station,China,State Power Investment Corp Ltd [100.0%],2015,,123.8,41.853874,123.881956,,False,True,,
G100000112475,Hangzhou Banshan power station,China,Huadian Power International Co Ltd [64.0%]; Zhejiang Zheneng Electric Power Co Ltd [36.0%],2015,2015-06-15,135.0,30.3618248,120.1433484,030747;103124,True,True,2014-06-15,Zhejiang province coal phase-down ~2014
G100000109172,Henan Jiaozuo power station,China,China Energy Investment Corp [100.0%],2015,2015-06-15,220.0,35.220028,113.197117,270113;356341,True,True,2014-06-15,Henan province coal phase-down ~2014
G100000109173,Henan Jiaozuo power station,China,China Energy Investment Corp [100.0%],2015,2015-06-15,220.0,35.220028,113.197117,270113;356341,True,True,2014-06-15,Henan province coal phase-down ~2014
G100000109174,Henan Jiaozuo power station,China,China Energy Investment Corp [100.0%],2015,2015-06-15,220.0,35.220028,113.197117,270113;356341,True,True,2014-06-15,Henan province coal phase-down ~2014
G100000109175,Henan Jiaozuo power station,China,China Energy Investment Corp [100.0%],2015,2015-06-15,220.0,35.220028,113.197117,270113;356341,True,True,2014-06-15,Henan province coal phase-down ~2014
G100000103933,Hongjun Aluminum power station,China,INNER MONGOLIA DIAN TOU ENERGY Corp Ltd [51.0%]; State Power Investment Corp Ltd [35.7%]; Ronghe Diantou No.7 (Jiaxing) Venture Capital Partnership LP [13.3%],2015,,50.0,45.4998815,119.6544353,,False,True,,
