plant_name,date,precision,source
Cherokee Station,2015-12-31,day,"Xcel Energy CACJ compliance; Denver Post"
Eastlake Power Plant,2015-04-06,day,"PJM deactivation notice; Power Engineering"
Edgewater Generating Station,2015-12-31,day,"Alliant Energy; Power Engineering"
H. Wilson Sundt Generating Station,2015-08-13,day,"Sierra Club Arizona; TEP press release"
Jack Watson Generating Plant,2015-04-15,day,"Mississippi Power; Sierra Club settlement"
Johnsonville Fossil Plant,2015-12-31,day,"TVA; Power Magazine"
Lake Shore Plant,2015-04-13,day,"PJM deactivation notice; Power Engineering"
Milton Kapp Generating Station,2015-06-15,month,"Alliant Energy EPA settlement"
Nelson Dewey Generating Station,2015-12-31,day,"Alliant Energy press release; EPA settlement"
Pulliam Power Plant,2015-06-15,month,"WPS; EPA Clean Air Act enforcement"
Scholz Generating Plant,2015-04-30,month,"Gulf Power; Sierra Club"
Stoneman Generating Station,2015-12-31,day,"Dairyland Power Cooperative; PPA termination"
Syl Laskin Energy Center,2015-03-15,month,"Minnesota Power/ALLETE; Duluth News Tribune"
Tecumseh Energy Center,2015-06-15,month,"Westar Energy; GlobalSpec"
Valley Power Plant,2015-12-31,day,"We Energies; Power Magazine"
Weston Power Plant,2015-08-15,month,"WPS; TransmissionHub"
W.S. Lee Steam Station,2014-11-06,day,"Duke Energy; The Journal Online"
Duernrohr power station,2015-04-30,month,"Verbund press release"
Bouchain power station,2015-04-15,month,"GEM Wiki; Power Magazine"
"GKM (Mannheim) power station",2015-05-15,month,"Alstom/GE press release; SourceWatch"
Goldenberg power station,2015-07-01,day,"RWE; German Wikipedia"
Heilbronn power station,2015-06-15,month,"EnBW; Bundesnetzagentur"
Ptolemaida power station,2016-01-15,month,"Balkan Green Energy News; PPC"
Ptolemaïda power station,2016-01-15,month,"Balkan Green Energy News; PPC"
Porto Marghera Enel power station,2015-11-02,day,"Enel Futur-e press release"
Amer power station,2016-01-01,day,"RWE; Wikipedia Amercentrale"
Borssele power station,2015-11-25,day,"GEM Wiki; EPZ"
Bielsko-Biala power station,2015-06-15,month,"Tauron; GEM tracker"
Bydgoszcz power station,2015-06-15,month,"PGE; GEM tracker"
Krakow-Leg power station,2015-06-15,month,"PGE; GEM tracker"
Soto de Ribera power station,2015-06-15,month,"GEM tracker; EDP"
Beijing Yire power station,2015-03-20,day,"CLP China; Dialogue Earth"
Chongqing power station,2015-06-15,month,"GEM tracker"
Hangzhou Banshan power station,2015-06-15,month,"GEM tracker"
Henan Jiaozuo power station,2015-06-15,month,"GEM tracker"
Jiaozuo Bo'ai power station,2015-06-15,month,"GEM tracker"
Tangshan West power station,2015-06-15,month,"GEM tracker"
Panipat power station,2016-06-15,month,"Central Electricity Authority India"
Trombay power station,2016-06-15,month,"Tata Power; GEM tracker"
Yongdong power station,2017-06-15,month,"KEPCO/KOSPO; GEM tracker"
Naga power station,2015-06-15,month,"SPC Power; GEM tracker"
Charqueadas power station,2016-06-15,month,"CGTEE/Eletrobras; GEM tracker"
Hassyan Clean-Coal Power Project,2022-02-03,day,"DEWA press release; Arab News"
Ivanovskaya CHP-2 power station,2015-06-15,month,"GEM tracker"
Omsk CHP-4 power station,2015-06-15,month,"GEM tracker"
Serovskaya power station,2015-06-15,month,"GEM tracker"
Troitskaya GRES power station,2015-06-15,month,"GEM tracker"
Apatitskaya CHP power station,2016-06-15,month,"GEM tracker"
Anadyrskaya power station,2018-06-15,month,"GEM tracker"
Tomskaya GRES-2 power station,2020-06-15,month,"GEM tracker"
Vorkutinskaya-2 power station,2021-06-15,month,"GEM tracker"
