spec,variable,beta,se,t
,intercept,-0.445751,0.383343,-1.16
,exposure,1.787665,1.342258,1.33
,treated,0.431488,1.208175,0.36
,intercept,-0.016676,0.186771,-0.09
,exposure,-0.079665,0.183743,-0.43
,treated,-0.468932,0.352182,-1.33
,intercept,-0.442351,0.382851,-1.16
,exposure,1.948507,1.497086,1.3
,treated,0.432211,1.210332,0.36
,conditional,-0.193812,0.379947,-0.51
,exp_x_cond,-1.093881,1.745729,-0.63
,intercept,-0.025993,0.193826,-0.13
,exposure,-0.10853,0.191196,-0.57
,treated,-0.464851,0.354513,-1.31
,conditional,0.267071,0.220411,1.21
,exp_x_cond,-0.008676,0.316786,-0.03
,intercept,-0.019656,0.188351,-0.1
,exposure,0.063949,0.28316,0.23
,treated,-0.465952,0.354839,-1.31
,exp_x_cond,0.211244,0.327261,0.65
,exp_x_always,-0.386979,0.342044,-1.13
,exp_x_never,0.252727,0.175408,1.44
,intercept,-0.445751,0.383343,-1.16
,exposure,1.787665,1.342258,1.33
,treated,0.431488,1.208175,0.36
,intercept,-0.016676,0.186771,-0.09
,exposure,-0.079665,0.183743,-0.43
,treated,-0.468932,0.352182,-1.33
,intercept,-0.368825,0.33024,-1.12
,exposure,2.093466,1.746051,1.2
,treated,0.422147,1.19502,0.35
,conditional,-0.794132,0.713446,-1.11
,exp_x_cond,-0.466046,2.310741,-0.2
,intercept,-0.044902,0.209186,-0.21
,exposure,-0.099368,0.210805,-0.47
,treated,-0.460331,0.354751,-1.3
,conditional,0.250216,0.211891,1.18
,exp_x_cond,-0.061388,0.250369,-0.25
,intercept,-0.019639,0.188318,-0.1
,exposure,-0.350023,25188656.718966,-0.0
,treated,-0.465969,0.354822,-1.31
,exp_x_cond,0.526215,24944100.86255,0.0
,exp_x_always,0.026967,16608908.391556,0.0
,exp_x_never,0.666667,26435483.530595,0.0
SPEC T1: Exposure x alpha_slope_z (daily),intercept,-0.004664,0.357771,-0.01
SPEC T1: Exposure x alpha_slope_z (daily),exposure,3.563182,3.499041,1.02
SPEC T1: Exposure x alpha_slope_z (daily),alpha_slope_z,1.135395,1.003723,1.13
SPEC T1: Exposure x alpha_slope_z (daily),exp_x_slope_z,-3.987436,4.430378,-0.9
SPEC T1: Exposure x alpha_slope_z (monthly),intercept,-0.413111,0.551373,-0.75
SPEC T1: Exposure x alpha_slope_z (monthly),exposure,0.29904,0.526657,0.57
SPEC T1: Exposure x alpha_slope_z (monthly),alpha_slope_z,1.051175,0.60425,1.74
SPEC T1: Exposure x alpha_slope_z (monthly),exp_x_slope_z,-1.125345,0.677094,-1.66
SPEC T2: Exposure x alpha_slope_z x free_float (daily),intercept,-0.303055,0.30541,-0.99
SPEC T2: Exposure x alpha_slope_z x free_float (daily),exposure,5.47234,4.904411,1.12
SPEC T2: Exposure x alpha_slope_z x free_float (daily),alpha_slope_z,-0.884815,0.261298,-3.39
SPEC T2: Exposure x alpha_slope_z x free_float (daily),free_float,0.572512,0.896487,0.64
SPEC T2: Exposure x alpha_slope_z x free_float (daily),exp_x_slope_z,-7.379127,3.812154,-1.94
SPEC T2: Exposure x alpha_slope_z x free_float (daily),exp_x_ff,-3.926286,6.057931,-0.65
SPEC T2: Exposure x alpha_slope_z x free_float (daily),slope_x_ff,8.280807,1.879197,4.41
SPEC T2: Exposure x alpha_slope_z x free_float (daily),exp_x_slope_x_ff,21.215019,14.066658,1.51
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),intercept,0.574951,0.639209,0.9
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exposure,-0.652516,0.701057,-0.93
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),alpha_slope_z,-0.561973,0.269141,-2.09
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),free_float,-1.805992,1.247438,-1.45
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_slope_z,-0.056894,0.670662,-0.08
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_ff,2.873417,1.82146,1.58
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),slope_x_ff,6.992531,1.103077,6.34
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_slope_x_ff,-2.144946,6.332159,-0.34
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),intercept,-0.287934,0.370742,-0.78
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exposure,-1.029642,1.455469,-0.71
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),treated,0.31143,0.370742,0.84
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),intercept,-0.308671,0.118681,-2.6
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exposure,0.180112,0.738488,0.24
