dropped_country,n_events_dropped,n_events_FM,fuel_mean,fuel_se,fuel_t
(none),0,36,-7.761683,0.828003,-9.3740
Russia,19,36,-7.761683,0.828003,-9.3740
China,12,26,-7.891696,1.097295,-7.1920
South Africa,9,36,-7.761683,0.828003,-9.3740
India,7,36,-7.761683,0.828003,-9.3740
France,5,31,-7.367664,0.865241,-8.5152
Germany,5,33,-7.764342,0.838510,-9.2597
Chile,4,36,-7.761683,0.828003,-9.3740
Netherlands,3,33,-7.101234,1.105121,-6.4258
Poland,3,33,-8.343476,0.972653,-8.5781
Greece,3,33,-8.531088,0.843120,-10.1185
