event_id,event_n,event_r2,beta_fuel,beta_geo,beta_reg,beta_same_sector
0,414,0.062849,-7.706892,-1.320781,-7.005171,0.094449
3,836,0.118246,-7.739994,4.055976,14.434597,0.109805
4,836,0.039983,-1.901414,3.075937,0.425724,0.127166
5,836,0.118246,-7.739994,4.055976,14.434597,0.109805
6,836,0.118246,-7.739994,4.055976,14.434597,0.109805
7,836,0.118246,-7.739994,4.055976,14.434597,0.109805
8,836,0.118246,-7.739994,4.055976,14.434597,0.109805
9,418,0.119051,-8.331840,-0.526812,14.806342,0.109747
10,418,0.119051,-8.331840,-0.526812,14.806342,0.109747
11,418,0.119051,-8.331840,-0.526812,14.806342,0.109747
12,120,0.048026,-10.204596,-0.564104,2.520190,0.074805
13,120,0.048026,-10.204596,-0.564104,2.520190,0.074805
14,120,0.048026,-10.204596,-0.564104,2.520190,0.074805
15,120,0.048026,-10.204596,-0.564104,2.520190,0.074805
16,120,0.048026,-10.204596,-0.564104,2.520190,0.074805
19,418,0.061718,-12.375083,0.221911,-6.551979,0.107744
20,418,0.054802,-5.411102,0.439061,-7.615605,0.123491
21,418,0.054802,-5.411102,0.439061,-7.615605,0.123491
22,123,0.030067,-0.881770,0.845187,14.181743,-0.020846
23,123,0.030067,-0.881770,0.845187,14.181743,-0.020846
24,120,0.109990,-14.713237,-16.543477,14.930406,0.140674
25,120,0.109990,-14.713237,-16.543477,14.930406,0.140674
26,120,0.102145,-15.653375,-1.216684,12.640339,0.144791
29,418,0.052421,-0.747083,0.908209,-8.239424,0.125035
30,418,0.052800,-1.669389,1.156195,-8.335506,0.123762
31,418,0.052800,-1.669389,1.156195,-8.335506,0.123762
39,418,0.065599,-10.040305,-3.407019,-3.970517,0.112019
40,418,0.065599,-10.040305,-3.407019,-3.970517,0.112019
41,418,0.063190,-9.032079,-2.695323,-5.379634,0.112361
42,127,0.009769,1.133099,-0.503093,-3.233057,-0.028063
43,420,0.036135,-11.427117,-0.194562,2.910398,0.096547
44,420,0.036135,-11.427117,-0.194562,2.910398,0.096547
45,420,0.036135,-11.427117,-0.194562,2.910398,0.096547
46,117,0.003313,-1.419770,0.077039,1.103884,-0.016991
53,122,0.009410,-4.830103,-0.205110,3.513563,-0.021347
54,122,0.009410,-4.830103,-0.205110,3.513563,-0.021347
55,122,0.009410,-4.830103,-0.205110,3.513563,-0.021347
56,122,0.009410,-4.830103,-0.205110,3.513563,-0.021347
57,422,0.038364,-11.979449,-4.852964,17.425905,0.090096
58,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
59,122,0.022842,-7.421938,-0.317095,-2.286608,0.003706
60,122,0.013707,-5.381584,-0.884200,4.168112,-0.029556
61,127,0.009769,1.133099,-0.503093,-3.233057,-0.028063
62,127,0.009769,1.133099,-0.503093,-3.233057,-0.028063
63,127,0.009769,1.133099,-0.503093,-3.233057,-0.028063
64,120,0.026275,-10.964173,-1.852138,2.465019,0.066871
65,120,0.094568,-3.217790,-0.617663,-12.467648,0.031386
66,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
67,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
68,420,0.036135,-11.427117,-0.194562,2.910398,0.096547
69,420,0.036135,-11.427117,-0.194562,2.910398,0.096547
75,392,0.004456,5.651931,0.109967,-0.614418,0.003416
76,420,0.036135,-11.427117,-0.194562,2.910398,0.096547
77,420,0.036135,-11.427117,-0.194562,2.910398,0.096547
78,122,0.022842,-7.421938,-0.317095,-2.286608,0.003706
79,122,0.022842,-7.421938,-0.317095,-2.286608,0.003706
80,122,0.022842,-7.421938,-0.317095,-2.286608,0.003706
81,122,0.022842,-7.421938,-0.317095,-2.286608,0.003706
82,122,0.022842,-7.421938,-0.317095,-2.286608,0.003706
83,122,0.022842,-7.421938,-0.317095,-2.286608,0.003706
84,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
85,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
86,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
87,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
88,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
89,117,0.034209,-1.117552,-0.254144,6.276584,-0.027212
90,117,0.034209,-1.117552,-0.254144,6.276584,-0.027212
91,117,0.034209,-1.117552,-0.254144,6.276584,-0.027212
92,127,0.009769,1.133099,-0.503093,-3.233057,-0.028063
93,119,0.093792,-1.867295,-0.624285,-12.647885,-0.042553
94,127,0.058872,-7.551875,1.105644,9.889213,0.027124
95,120,0.026275,-10.964173,-1.852138,2.465019,0.066871
96,117,0.034209,-1.117552,-0.254144,6.276584,-0.027212
97,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
98,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
99,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
100,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
101,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
102,120,0.026275,-10.964173,-1.852138,2.465019,0.066871
103,120,0.026275,-10.964173,-1.852138,2.465019,0.066871
104,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
105,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
106,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
107,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
108,130,0.090174,0.029721,-1.102989,7.012813,-0.072834
109,117,0.035703,1.308496,-0.609904,6.223503,0.030745
110,117,0.035703,1.308496,-0.609904,6.223503,0.030745
111,418,0.043724,-6.923302,0.188197,-10.264833,-0.087967
112,118,0.004784,2.033451,0.405930,0.145752,-0.020828
113,118,0.004784,2.033451,0.405930,0.145752,-0.020828
114,119,0.094462,-1.991458,-0.407240,-12.922074,-0.040360
115,117,0.033348,-5.130001,0.407582,6.978517,0.022529
116,117,0.033348,-5.130001,0.407582,6.978517,0.022529
117,117,0.033348,-5.130001,0.407582,6.978517,0.022529
118,119,0.093792,-1.867295,-0.624285,-12.647885,-0.042553
119,119,0.094462,-1.991458,-0.407240,-12.922074,-0.040360
120,119,0.092964,-0.523377,0.225164,-14.223849,-0.046245
121,117,0.035703,1.308496,-0.609904,6.223503,0.030745
