tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,0.5488446921659803,0.10211164286781793,5.374947231790717,33143,91
-5,0.6395078585280621,0.09383397473875263,6.815312474064374,33183,91
-4,0.49562783839897384,0.055380162605132434,8.949555492150918,33265,91
-3,0.5126406839022289,0.07489115389753088,6.845143347686227,33308,91
-2,0.4696154126671904,0.06763688804098071,6.943184795590445,33366,91
-1,0.5145545860022759,0.1325155890299966,3.8829739939940184,33344,91
0,0.8308958908912032,0.09458116893387793,8.785003402443524,33385,92
1,0.79943319312015,0.10502733396858004,7.611667962164101,33800,92
2,0.7978312745461223,0.09680444220927492,8.241680405753955,33717,92
3,0.9869905919565821,0.11735122476310027,8.410569160646117,33695,92
4,0.1257332380479238,0.09528163779420484,1.319595684527277,33589,92
5,0.28312729337026316,0.048299778998140905,5.861875545665766,33736,92
6,0.6691791635869306,0.08839099139887631,7.570671546913295,33764,92
7,0.12067416348061892,0.06230258732693455,1.9369045276944585,33831,92
8,0.37320611755961675,0.07565280485486423,4.933143169980179,33948,92
9,0.5456430974578986,0.06005637494038071,9.085515034824706,34040,92
10,0.30269871152631467,0.0852447679600363,3.5509359550163033,33998,92
11,0.5575819367125702,0.08319254643860938,6.702306403423159,33986,92
12,0.3974656601165702,0.047405246836874144,8.384423384278252,33941,92
