tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,0.54884469216598,0.10211164286781788,5.374947231790717,33143,91
-5,0.6395078585280618,0.09383397473875262,6.815312474064371,33183,91
-4,0.4956278383989733,0.05538016260513237,8.949555492150918,33265,91
-3,0.5126406839022287,0.07489115389753079,6.845143347686232,33308,91
-2,0.4696154126671908,0.06763688804098067,6.943184795590454,33366,91
-1,0.5145545860022753,0.13251558902999655,3.882973993994016,33344,91
0,0.8308958908912027,0.09458116893387784,8.785003402443525,33385,92
1,0.7994331931201496,0.10502733396857994,7.611667962164104,33800,92
2,0.7978312745461218,0.0968044422092748,8.24168040575396,33717,92
3,0.9869905919565818,0.11735122476310018,8.410569160646121,33695,92
4,0.12573323804792344,0.09528163779420477,1.319595684527274,33589,92
5,0.2831272933702635,0.048299778998140884,5.861875545665776,33736,92
6,0.6691791635869303,0.08839099139887625,7.570671546913296,33764,92
7,0.12067416348061888,0.06230258732693452,1.9369045276944588,33831,92
8,0.37320611755961647,0.07565280485486423,4.933143169980175,33948,92
9,0.5456430974578983,0.06005637494038067,9.085515034824706,34040,92
10,0.3026987115263145,0.08524476796003623,3.550935955016304,33998,92
11,0.5575819367125698,0.08319254643860931,6.702306403423161,33986,92
12,0.39746566011657003,0.04740524683687413,8.38442338427825,33941,92
