tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,0.5607228863392435,0.10747354958977791,5.217310570642726,33143,91
-5,0.6668936450889876,0.09873805145056935,6.754170608915152,33183,91
-4,0.5159024208922847,0.05726865001588112,9.008461361481721,33265,91
-3,0.5288756889752428,0.07780434061760777,6.797508786489913,33308,91
-2,0.48126805955660523,0.07014244674417079,6.861295576299542,33366,91
-1,0.522121059599952,0.138442464688957,3.771393847783754,33344,91
0,0.8696974949059235,0.09690056201172537,8.975154290649899,33385,92
1,0.8345524459341443,0.1085840117450354,7.6857765017353135,33800,92
2,0.831875134166469,0.09818990313414162,8.472104642266599,33717,92
3,1.0426590239594893,0.119416287816926,8.731296567834722,33695,92
4,0.10787186779912265,0.10255102103030474,1.0518848736498252,33589,92
5,0.2934972527281727,0.05178598878295715,5.667503114756845,33736,92
6,0.7050277102191672,0.09333684406366355,7.553584195950307,33764,92
7,0.11694966402702488,0.06687902632022914,1.7486747409725774,33831,92
8,0.3757406525748881,0.0787965663314198,4.768490177535351,33948,92
9,0.5703348145716949,0.06171815300257183,9.240957268243733,34040,92
10,0.3003895600791138,0.09095402021705534,3.3026529158607323,33998,92
11,0.5770421240893451,0.0866346151220092,6.660641630099995,33986,92
12,0.4223761571333683,0.04892326448398763,8.633441811136912,33941,92
