tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,0.005010752741563707,0.000932242220337981,5.374947231790336,33143,91
-5,0.005844424079330708,0.0008575430842784995,6.815312474064156,33183,91
-4,0.004524039446835491,0.0005055043740220539,8.949555492151129,33265,91
-3,0.004676297480668122,0.0006831555225573186,6.845143347685911,33308,91
-2,0.004280152085894934,0.0006164537185605061,6.943184795591153,33366,91
-1,0.00469125100321972,0.0012081592641299702,3.8829739939940975,33344,91
0,0.007545937013570798,0.0008589566409810465,8.785003402444508,33385,92
1,0.007217106301710943,0.0009481635743422027,7.611667962163467,33800,92
2,0.007191251126013857,0.0008725467103763656,8.241680405753833,33717,92
3,0.008899407567629171,0.0010581219175119347,8.4105691606457,33695,92
4,0.0011352253577772025,0.0008602827146891671,1.3195956845272385,33589,92
5,0.002558100928529822,0.0004363963220647351,5.861875545665925,33736,92
6,0.006043687768696095,0.0007983027306422444,7.5706715469128785,33764,92
7,0.0010887959288446744,0.0005621319550223859,1.9369045276945962,33831,92
8,0.003361709167147622,0.0006814538016258942,4.933143169979907,33948,92
9,0.0049096254216812775,0.0005403794284487639,9.085515034824802,34040,92
10,0.0027253471641183265,0.0007675010753906321,3.5509359550163717,33998,92
11,0.005021923970766473,0.0007492829585054151,6.702306403422865,33986,92
12,0.0035818609257792654,0.00042720420494216484,8.384423384278673,33941,92
