group,tau,mean_ar,se,n
low,-6,-0.005085,0.000863,7555
low,-5,0.011769,0.000859,7636
low,-4,-0.014041,0.000810,7867
low,-3,0.004368,0.000819,7882
low,-2,-0.005887,0.000787,7855
low,-1,0.009017,0.000898,7855
low,0,0.001475,0.001036,7827
low,1,0.001331,0.001010,7810
low,2,0.008362,0.001071,7801
low,3,0.011075,0.001149,7785
low,4,0.001159,0.001114,7765
low,5,-0.005228,0.001173,7738
low,6,0.004598,0.001176,7727
low,7,0.012193,0.001169,7730
low,8,-0.002788,0.001274,7729
low,9,0.006922,0.001146,7711
low,10,0.007393,0.001237,7708
low,11,-0.003823,0.001255,7691
low,12,0.009829,0.001278,7683
high,-6,-0.012314,0.000612,17911
high,-5,0.006061,0.000600,18132
high,-4,-0.008136,0.000588,18609
high,-3,0.008824,0.000579,18592
high,-2,-0.001855,0.000605,18596
high,-1,0.007137,0.000649,18568
high,0,-0.000175,0.000733,18508
high,1,-0.003794,0.000757,18464
high,2,-0.000339,0.000757,18344
high,3,0.009073,0.000766,18297
high,4,0.007284,0.000756,18269
high,5,0.002418,0.000795,18231
high,6,-0.002819,0.000795,18230
high,7,0.008755,0.000757,18212
high,8,-0.004922,0.000803,18178
high,9,0.006233,0.000797,18191
high,10,0.005879,0.000852,18193
high,11,-0.003910,0.000851,18166
high,12,0.007723,0.000779,18115
