group,tau,mean_ar,se,n
low,-6,-0.005455,0.000888,7270
low,-5,0.012080,0.000881,7351
low,-4,-0.013576,0.000835,7582
low,-3,0.004297,0.000846,7597
low,-2,-0.005273,0.000801,7570
low,-1,0.008066,0.000916,7570
low,0,0.001438,0.001058,7542
low,1,0.000120,0.001041,7525
low,2,0.007350,0.001105,7521
low,3,0.009888,0.001182,7505
low,4,-0.001199,0.001137,7495
low,5,-0.008579,0.001189,7468
low,6,0.007421,0.001198,7457
low,7,0.011889,0.001206,7460
low,8,-0.002928,0.001297,7459
low,9,0.008510,0.001163,7441
low,10,0.007459,0.001255,7438
low,11,-0.004013,0.001275,7426
low,12,0.009632,0.001306,7423
high,-6,-0.012527,0.000619,17641
high,-5,0.005994,0.000606,17862
high,-4,-0.007932,0.000595,18339
high,-3,0.009137,0.000585,18312
high,-2,-0.001574,0.000613,18316
high,-1,0.006611,0.000656,18288
high,0,-0.000468,0.000739,18228
high,1,-0.004265,0.000765,18189
high,2,-0.001036,0.000762,18069
high,3,0.008543,0.000774,18022
high,4,0.006604,0.000763,17994
high,5,0.001478,0.000800,17961
high,6,-0.002231,0.000803,17955
high,7,0.008828,0.000766,17942
high,8,-0.005075,0.000811,17913
high,9,0.006586,0.000802,17921
high,10,0.005786,0.000858,17923
high,11,-0.004012,0.000858,17896
high,12,0.007239,0.000786,17845
