tau,beta_exp,se_exp,t_exp,n_obs,n_clusters
-6,-0.06939290268076136,0.02731372957679608,-2.5405868680677326,2183,26
-5,-0.06448251348619596,0.020038690053505635,-3.2179006369188876,2223,26
-4,-0.026196472240044434,0.025965220168700766,-1.0089062241660645,2222,26
-3,-0.06376352528112114,0.02863194731268103,-2.227006238338543,2219,26
-2,-0.06289448302697152,0.02545402157631844,-2.4709055438802023,2223,26
-1,-0.023330458801506394,0.017474026401680297,-1.335150712560612,2228,26
0,-0.07130676862607097,0.03843008513656346,-1.8554933816221946,2231,26
1,-0.0626161825187116,0.023397061910073055,-2.6762412630858434,2236,26
2,-0.05628871526539385,0.025143204185662286,-2.2387248200248098,2243,26
3,-0.06392537245086048,0.024069984916951954,-2.6558127340511652,2244,26
4,-0.10955357267546507,0.030124615643814245,-3.6366795172027593,2247,26
5,-0.07032556226772979,0.029075059537608562,-2.41875901154265,2246,26
6,-0.02264378455755041,0.019366572617209758,-1.1692200269565725,2246,26
7,-0.05839310894223053,0.023607912470678987,-2.4734549916158293,2251,26
8,-0.032466037886309515,0.01852667877318817,-1.7523938469367968,2258,26
9,-0.0936918271020275,0.03700314532152457,-2.5319963016097273,2252,26
10,-0.035989152460763646,0.03630623271003333,-0.9912665064480221,2251,26
11,-0.09006321422504734,0.028963373908149726,-3.109555347752677,2259,26
12,-0.05646251864331266,0.028283728403983983,-1.9962898044007338,2256,26
