tau,beta_exp,se_exp,t_exp,n_obs,n_clusters
-6,-0.040733238502266476,0.023528622615932505,-1.7312206994507104,352,14
-5,-0.006725890945586318,0.02093587771748956,-0.32126147450544174,351,14
-4,0.023415393137240365,0.03256148590693104,0.7191131634522908,351,14
-3,0.004770343095542268,0.052012224461982656,0.09171580613763328,350,14
-2,0.019723949174370495,0.0287602633189303,0.6858055837544432,348,14
-1,0.04548198417099246,0.03388121434257956,1.3423953377560571,348,14
0,0.05753196450062275,0.041483220699848854,1.3868731388262814,347,14
1,-0.03799396633061268,0.025234531104603743,-1.5056339336410784,349,14
2,-0.030579196421758457,0.013336075498392056,-2.2929681543453637,348,14
3,-0.03893015292228301,0.02284821336856701,-1.7038598289632756,347,14
4,-0.03650092133535376,0.04430973678566991,-0.8237675053659632,347,14
5,-0.04509703280278935,0.05496955997906283,-0.8204001054395598,347,14
6,0.002757704198177155,0.02173173614017722,0.12689755574009406,343,14
7,0.006920741307175619,0.031203686645886457,0.22179242426432877,343,14
8,0.028971114037610875,0.045511169627801655,0.6365715114452505,344,14
9,-0.025469988216594283,0.017601023091974546,-1.4470743026414021,341,14
10,0.055399986744627434,0.03979682085776789,1.392070661689902,340,14
11,0.025630362658573113,0.06732586762175256,0.3806911602323281,341,14
12,-0.011237111987772788,0.05903033872604979,-0.1903616382742169,338,14
