tau,beta_exp,se_exp,t_exp,n_obs,n_clusters
-6,-0.09496907367836155,0.036229080244125474,-2.6213492873245308,2183,26
-5,-0.08805776464347319,0.02645467955511287,-3.3286271512010943,2223,26
-4,-0.035360754047746065,0.03367807154202138,-1.0499637428356055,2222,26
-3,-0.08781880612539941,0.03776343232115652,-2.3254985240364383,2219,26
-2,-0.08622365891905706,0.033518395173984604,-2.5724280196439655,2223,26
-1,-0.035964145895942816,0.022505650238538982,-1.5980051904635628,2228,26
0,-0.10019244360011362,0.04959989084392622,-2.0200133890492773,2231,26
1,-0.08560221822345045,0.030816158093172993,-2.7778355096904424,2236,26
2,-0.0793478286218906,0.03207756391362599,-2.473623895989964,2243,26
3,-0.08723801474635637,0.03148911243539335,-2.770418344605419,2244,26
4,-0.145005333284166,0.038707587674673916,-3.746173347274801,2247,26
5,-0.09629565436188106,0.03788185455609673,-2.5419994741620475,2246,26
6,-0.03338524461718044,0.025280448860446555,-1.320595405622506,2246,26
7,-0.08029287769233757,0.030965894571168898,-2.592945522946237,2251,26
8,-0.0470396052428532,0.02297915788486814,-2.0470552262417305,2258,26
9,-0.1270347512698648,0.04810171794457146,-2.6409607951268894,2252,26
10,-0.05158932480244441,0.04606536888776516,-1.1199155905630096,2251,26
11,-0.11977245766892705,0.037000361131325536,-3.2370618557969792,2259,26
12,-0.08158188219974476,0.03650083270571698,-2.2350690697247275,2256,26
