tau,beta_exp,se_exp,t_exp,n_obs,n_clusters
-6,-0.0423748001230386,0.03308232466172596,-1.2808894343529433,352,14
-5,-0.003186958942406285,0.030788071168695308,-0.10351278340705931,351,14
-4,0.03226811625574574,0.04343024572966352,0.7429871904617412,351,14
-3,0.006462570695564419,0.07050305820724315,0.09166369317722002,350,14
-2,0.027026841714166888,0.038291982257415064,0.7058094180782001,348,14
-1,0.059685284639023006,0.04288288350891895,1.3918206929020858,348,14
0,0.0751703409656937,0.05609953582134194,1.3399458634575128,347,14
1,-0.04661150937749206,0.03351382282803971,-1.3908144593547838,349,14
2,-0.033290817539621334,0.01876903704525857,-1.7737094055142937,348,14
3,-0.051428059785875654,0.032075390478327546,-1.6033494532396784,347,14
4,-0.053242178892626835,0.05979912335193061,-0.8903504919175026,347,14
5,-0.05327262554790166,0.07716719416264406,-0.6903532793432893,347,14
6,0.008643602717804864,0.02784361855825463,0.31043388630398927,343,14
7,0.0096194631440771,0.0398552523145896,0.24135998608534098,343,14
8,0.03981055412605694,0.059681114049174394,0.667054473769624,344,14
9,-0.030111699244179432,0.021669891179176115,-1.3895639343641721,341,14
10,0.07313219010500893,0.05103565368437712,1.4329627392897673,340,14
11,0.02952990741765588,0.08686171042890288,0.33996460893809344,341,14
12,-0.016464177324319373,0.07677692889744571,-0.21444172827375385,338,14
