tau,beta_exp,se_exp,t_exp,n_obs,n_clusters
-6,-0.010388471740368466,0.0040890047378185045,-2.54058686806774,2183,26
-5,-0.009572998863443895,0.002974920590652524,-3.217900636918896,2223,26
-4,-0.003921169787491129,0.003886555255154837,-1.0089062241660869,2222,26
-3,-0.009550260900743438,0.004288385338277438,-2.2270062383385527,2219,26
-2,-0.009436566804537545,0.0038190722538583508,-2.4709055438801726,2223,26
-1,-0.0034968402030049034,0.002619060282938809,-1.3351507125605946,2228,26
0,-0.010681059284760014,0.005756452375713664,-1.8554933816221864,2231,26
1,-0.009369634600122717,0.0035010425739116684,-2.6762412630858554,2236,26
2,-0.00841070545679109,0.0037569179479136905,-2.2387248200248195,2243,26
3,-0.009549820674020378,0.003595818542316084,-2.6558127340511715,2244,26
4,-0.016356157937003398,0.004497552742724002,-3.6366795172027433,2247,26
5,-0.010501636796525698,0.004341745807006955,-2.4187590115426754,2246,26
6,-0.0033900463033412482,0.0028994083450360406,-1.1692200269566062,2246,26
7,-0.008733205339661324,0.003530771883565262,-2.47345499161583,2251,26
8,-0.0048487476130632525,0.002766928006246374,-1.7523938469367994,2258,26
9,-0.014008126842772308,0.0055324436429336965,-2.5319963016097167,2252,26
10,-0.0053819139184041916,0.005429330945205732,-0.9912665064480162,2251,26
11,-0.013466813606386916,0.0043307843406355795,-3.1095553477526767,2259,26
12,-0.008447793988944257,0.004231747299576191,-1.9962898044007262,2256,26
