tau,beta_exp,se_exp,t_exp,n_obs,n_clusters
-6,-0.005566826492600878,0.003215549868579526,-1.7312206994507078,352,14
-5,-0.0009204278692659661,0.0028650427838660063,-0.3212614745054408,351,14
-4,0.003238339060172507,0.004503239858141393,0.7191131634522918,351,14
-3,0.0006606195476080377,0.007202897465859499,0.09171580613763576,350,14
-2,0.0027388118682654785,0.003993568925571972,0.6858055837544401,348,14
-1,0.006315499849372986,0.004704649719604921,1.342395337756057,348,14
0,0.007999505261807949,0.0057680151398548105,1.3868731388262807,347,14
1,-0.005268644826840211,0.0034992867184515594,-1.505633933641081,349,14
2,-0.004246140838304345,0.0018518097733967874,-2.2929681543453677,348,14
3,-0.005413025017447818,0.0031769192074569967,-1.7038598289632738,347,14
4,-0.0050752536406059885,0.006161026755178063,-0.8237675053659632,347,14
5,-0.0062704959639251325,0.007643216916172246,-0.8204001054395591,347,14
6,0.00038553141559004273,0.0030381311392606923,0.12689755574009193,343,14
7,0.0009675305984055861,0.004362324825182035,0.2217924242643284,343,14
8,0.004044691135211819,0.0063538676527149195,0.6365715114452499,344,14
9,-0.003570503838522569,0.002467394958230674,-1.4470743026414041,341,14
10,0.00777691193024283,0.0055865784290016355,1.3920706616899001,340,14
11,0.0035929858889976957,0.00943805967757423,0.38069116023232913,341,14
12,-0.0015817966231040606,0.008309429554422496,-0.19036163827421668,338,14
