tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,-0.12388344423656927,0.08228922176184778,-1.5054637968882343,154391,26
-5,-0.07655074787800698,0.11010022423456652,-0.6952823975627607,157716,26
-4,0.06805896302998657,0.08868892704360883,0.7673896313631307,157993,26
-3,-0.1075483581508199,0.10180453075960344,-1.056420154863045,157498,26
-2,0.18675586431514854,0.15398331330444967,1.2128318342254545,158453,26
-1,0.1831946807025304,0.04969622248135715,3.6862898537459934,159185,26
0,0.10350309471392127,0.13664414981315262,0.7574645153521138,159348,26
1,0.16412420163940233,0.09903219735120783,1.6572812280167044,160136,26
2,0.27837424448278847,0.1470010922992158,1.8936882721671688,159916,26
3,0.061354841909422156,0.07817822185906571,0.7848073344521498,159993,26
4,0.012855868559398282,0.051967226854985456,0.24738415608115058,160033,26
5,0.05849838948869404,0.0966050667426388,0.6055416290383294,159993,26
6,-0.03386444551710732,0.09978205946884691,-0.339384110704592,160524,26
7,-0.03333154662773381,0.04279202320038914,-0.7789196241469298,161057,26
8,0.07594253014726236,0.05919709476061267,1.2828759663690696,161342,26
9,-0.12891926026259776,0.06446149700427396,-1.9999420778895358,161725,26
10,-0.026865489062498277,0.07965553175536626,-0.33727085201070667,161857,26
11,-0.028421180565141146,0.09650233923565073,-0.29451286663361576,162783,26
12,-0.24373759656524446,0.08217097135081655,-2.9662250860421695,162980,26
