tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,0.065022430604876,0.1643743145240875,0.3955753719377341,18386,14
-5,-0.0017052232273133978,0.257076197043639,-0.0066331431961549284,18404,14
-4,0.43976863409964523,0.22896969778830376,1.920641195527269,18385,14
-3,-0.049972860760643445,0.155569059549411,-0.32122621879559116,18379,14
-2,0.30098972120909007,0.14065812711370543,2.1398672610348033,18453,14
-1,0.17297540851440768,0.22386476407906478,0.772678135507364,18512,14
0,-0.0379043527085563,0.16867158382424402,-0.22472281251626045,18495,14
1,0.49159937918463703,0.1758266850899381,2.7959315671177913,18585,14
2,0.11277988206533905,0.1676190459295061,0.6728345304671987,18630,14
3,0.14660855583467913,0.21332193744398592,0.6872643179193683,18676,14
4,0.35304985290614377,0.14523438337415945,2.430897179468863,18745,14
5,0.17081064689485795,0.25548293070141215,0.6685794875841927,18779,14
6,0.3373985988301667,0.24398847147340166,1.3828464795597857,18783,14
7,-0.016444661061470245,0.23552610615288375,-0.06982096944614603,18886,14
8,0.16997488742385614,0.29791687745675427,0.5705446729802334,18969,14
9,0.020155575645371404,0.0985767559171348,0.20446580390933644,19021,14
10,0.06785719407591118,0.203274171761472,0.33382103337524277,19116,14
11,-0.28639332224873226,0.1787637079910843,-1.6020775439666755,19214,14
12,0.001469948587941472,0.3009275326399944,0.00488472614999971,19235,14
