tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,-0.12854179417662923,0.09793239212535357,-1.3125564625450545,154391,26
-5,-0.06916276906014124,0.12516004905680353,-0.5525946145063583,157716,26
-4,0.0858709410237394,0.103508930641767,0.8295993446297815,157993,26
-3,-0.11579864030329819,0.11755580838885273,-0.9850524775454552,157498,26
-2,0.20979065028939511,0.17675536972688563,1.1868983138308844,158453,26
-1,0.2209634022826603,0.05868465915280362,3.7652668597309886,159185,26
0,0.10118383729370833,0.1523679544990156,0.6640755769571091,159348,26
1,0.18744899285987127,0.11359554594000187,1.6501438617925812,160136,26
2,0.3234037134423224,0.17107133330832355,1.890461173056088,159916,26
3,0.07894082850257093,0.09145112549606378,0.8632023725718793,159993,26
4,0.021763333499372157,0.062455227964682745,0.3484629583239839,160033,26
5,0.06841092420330389,0.1161171133222484,0.5891545375697532,159993,26
6,-0.02118064737980163,0.11589247499195347,-0.18276119636993018,160524,26
7,-0.023826377221937152,0.049763072079967136,-0.4787963489000273,161057,26
8,0.13064226741164572,0.07030650363050506,1.8581818276476172,161342,26
9,-0.12426846830474064,0.0816767851669144,-1.5214662042682756,161725,26
10,-0.0038129298297943093,0.08939220857027277,-0.042653939205416304,161857,26
11,-0.009345592468036706,0.11807614588555013,-0.07914886108406081,162783,26
12,-0.2585517819636248,0.09580292430066925,-2.698787994739934,162980,26
