tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,0.07839722759993795,0.17514088280122792,0.447623800600075,18386,14
-5,-0.0030136154431135345,0.27437097118239795,-0.01098372553818795,18404,14
-4,0.4705286016487618,0.2424201732785332,1.940963061304882,18385,14
-3,-0.05429630639709748,0.1654780317523204,-0.32811791282582814,18379,14
-2,0.32460976773556705,0.14834223306927424,2.1882491655898004,18453,14
-1,0.1841906707214889,0.23859524355815742,0.7719796420694051,18512,14
0,-0.04106629364834696,0.18155031345960088,-0.22619786694824495,18495,14
1,0.5197711496787563,0.18668217070078316,2.784257048906148,18585,14
2,0.12459618198828516,0.17816350218605434,0.6993361741293715,18630,14
3,0.1576063996289538,0.22591207499182198,0.6976448675205129,18676,14
4,0.3781152427621108,0.1519838913332799,2.4878639403498077,18745,14
5,0.19174171471377882,0.2706263459772427,0.7085108954244337,18779,14
6,0.36073982730673493,0.2594522203887051,1.3903902104452341,18783,14
7,-0.018330713987778302,0.24767026756550534,-0.07401257392726837,18886,14
8,0.1847536910619701,0.3160335965514871,0.5846014255382201,18969,14
9,0.02676617310131446,0.10309247765985356,0.2596326493347806,19021,14
10,0.07510586498320038,0.21283277574981987,0.35288674274250703,19116,14
11,-0.2981201939216586,0.19212346685221318,-1.5517115051384176,19214,14
12,0.000906817588792741,0.31786193575140104,0.002852866250402378,19235,14
