tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,0.10656665199996973,0.07317450658612942,1.4563357782882536,119007,26
-5,0.16981116351150527,0.07022360151866577,2.41814945173908,118727,26
-4,0.17738197662371796,0.06856736224509534,2.586973901513999,119006,26
-3,0.04056839394938916,0.07179198077761952,0.5650825274629556,117553,26
-2,0.028604313772334578,0.06529088310511033,0.43810578769910546,118918,26
-1,0.038724881343224105,0.06070723128269196,0.6378956925723744,118916,26
0,0.04618108721142006,0.06626214194747629,0.6969452820892239,120294,26
1,0.04717681954265224,0.070940050865607,0.6650237625573004,121342,26
2,0.05766137951719963,0.06502619372489035,0.8867408072683844,121174,26
3,0.07543306868643734,0.05703918805604849,1.3224779534434195,122104,26
4,0.03632535983484991,0.06088628562817802,0.5966098844768193,120225,26
5,0.042947404069416495,0.051780224328789766,0.8294171109942019,121306,26
6,0.03359524826666205,0.058177612497316455,0.5774600714013778,121788,26
7,0.04941700995624493,0.0631801148945028,0.7821608118117656,123010,26
8,0.032808465495389016,0.06628424886948432,0.49496624092384106,122427,26
9,0.003381605359872919,0.07167278219050882,0.04718116496279565,123082,26
10,0.007087067160583438,0.05806756641420106,0.12204863400044637,123611,26
11,0.04928454737907412,0.06679761922332482,0.7378189215741483,123164,26
12,0.07157980937582148,0.07718190800536837,0.9274169455728247,123958,26
