tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,-0.02639427279661244,0.2449242314426035,-0.10776505305804246,13425,14
-5,-0.015363642792285526,0.25290214101449443,-0.06074935835124068,13426,14
-4,-0.04202623952005424,0.2014004422204548,-0.20867004588824054,13566,14
-3,-0.010296198395826961,0.18815443263974907,-0.05472206129493975,13402,14
-2,-0.04758112235105938,0.1902677424474912,-0.2500745619777903,13506,14
-1,-0.06984866052194383,0.19394987120451457,-0.36013769995387324,13554,14
0,-0.058281236735809094,0.18820636762554846,-0.30966665725021725,13591,14
1,-0.09552607158364768,0.16634332629655743,-0.5742705385928347,13660,14
2,-0.029139761735616387,0.21710777507883405,-0.13421795569060316,13725,14
3,-0.06981338900414713,0.20880037023292558,-0.3343547184627468,13879,14
4,0.06326536030636809,0.2460258989554982,0.25714918866249803,13724,14
5,0.02714729974296448,0.22897139322605792,0.1185619712597137,13767,14
6,-0.06537717987686864,0.16663543938238193,-0.39233658889839285,13980,14
7,0.12417443631075686,0.28814167836463805,0.4309492365544438,13896,14
8,0.057203627336881224,0.23028907854238828,0.24839921935921078,13926,14
9,-0.03495404890972176,0.17659973106876464,-0.19792809818102897,14016,14
10,0.029243169011507586,0.20271248040170975,0.14425934186961356,14107,14
11,-0.017731993041681937,0.16992999432019704,-0.10434881206592496,14070,14
12,0.01967897795974638,0.184800128725904,0.1064879017965095,14124,14
