tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,0.11911919102532836,0.08695017641471152,1.3699706652369024,119007,26
-5,0.19279894776791173,0.08392559881070354,2.297260317472086,118727,26
-4,0.2040079440808803,0.08008361187457619,2.5474368513796497,119006,26
-3,0.04523932069288239,0.08308545340193194,0.5444914704146089,117553,26
-2,0.030175043612524433,0.0753046560560843,0.4007062138369121,118918,26
-1,0.041302442321446864,0.07028677605855789,0.5876274974831203,118916,26
0,0.04933014942261643,0.07631331662305711,0.6464160071338315,120294,26
1,0.05118535028426563,0.08312134445176513,0.615790692774083,121342,26
2,0.06343814954080007,0.07616420963579339,0.8329128582066622,121174,26
3,0.08661080418492367,0.06793908316561542,1.274830335490282,122104,26
4,0.040125172216046945,0.0717974620966349,0.5588661638490922,120225,26
5,0.0484031361872847,0.061587771159733885,0.7859212190313959,121306,26
6,0.03752272662427236,0.06814403952596544,0.5506384253897186,121788,26
7,0.054983012410998566,0.07469485175940675,0.736101767603739,123010,26
8,0.03363022823350281,0.07479374186813477,0.44963960076759685,122427,26
9,-8.353740662181419e-05,0.0798682683930978,-0.0010459398745276101,123082,26
10,0.005435447007979044,0.06501275467749736,0.08360585603459127,123611,26
11,0.05092104180680479,0.07498794743806507,0.67905634900678,123164,26
12,0.0763787778020828,0.08723976125085046,0.8755042048139284,123958,26
