tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,-0.027385986339445223,0.26283741016990814,-0.10419363941282893,13425,14
-5,-0.015500683916927827,0.27125306547466904,-0.057144732686441685,13426,14
-4,-0.04400159480245436,0.2160038241644647,-0.20370748051641746,13566,14
-3,-0.009860020570441774,0.2029906343466565,-0.048573770913998726,13402,14
-2,-0.04845052254692872,0.20554014774314988,-0.23572291388772465,13506,14
-1,-0.07249737746249907,0.20872095180227482,-0.34734115974699636,13554,14
0,-0.0615273084756941,0.20200344638768955,-0.30458543938705634,13591,14
1,-0.10045411973807716,0.17920240534451934,-0.5605623403600671,13660,14
2,-0.028639538923789676,0.2335821938791327,-0.12261011187611856,13725,14
3,-0.07188446738861431,0.22488449373941774,-0.31965061793860094,13879,14
4,0.07018745348880129,0.2648427197705597,0.2650156045429776,13724,14
5,0.030016766960393904,0.24574659950106825,0.1221451976195643,13767,14
6,-0.0694848317941521,0.1788265794367789,-0.38855986628496286,13980,14
7,0.12874863316049645,0.30571724020897584,0.42113631888240627,13896,14
8,0.06346823383366595,0.24805256463580347,0.25586606583508414,13926,14
9,-0.037412914925188834,0.1884413684900891,-0.1985387562453227,14016,14
10,0.029222227948738855,0.215224529716458,0.13577554559992266,14107,14
11,-0.019143643573858338,0.1810191014158667,-0.1057548260052315,14070,14
12,0.019449771306852104,0.19643989712434815,0.09901130875944325,14124,14
