tau,beta_w,se_w,t_w,n_obs,n_clusters
-6,-0.0008685102980258954,0.000576905469145508,-1.5054637968891198,154391,26
-5,-0.0005320365686588089,0.0007652093171411768,-0.6952823975621446,157716,26
-4,0.00047247199273629917,0.0006156872251418394,0.7673896313626665,157993,26
-3,-0.0007488324710096895,0.0007088396293485118,-1.0564201548634276,157498,26
-2,0.0012999311998200787,0.0010718148741960423,1.212831834224305,158453,26
-1,0.0013003381854503136,0.000352749847961123,3.686289853748216,159185,26
0,0.0007242384009626509,0.0009561350878932628,0.7574645153525634,159348,26
1,0.0011473203009873597,0.0006922906514543971,1.6572812280174731,160136,26
2,0.002021669123501757,0.0010675828504693302,1.8936882721682833,159916,26
3,0.00044551169784674604,0.0005676701507356583,0.784807334451875,159993,26
4,9.349547836779293e-05,0.000377936404047565,0.2473841560815245,160033,26
5,0.00042488618218164957,0.0007016630431442474,0.6055416290384582,159993,26
6,-0.00024555965358693345,0.0007235449328443772,-0.3393841107028378,160524,26
7,-0.00024192854098107632,0.00031059500041021433,-0.77891962414576,161057,26
8,0.0005435550383220974,0.0004237003830231765,1.2828759663697655,161342,26
9,-0.0009203417517165806,0.00046018420327819564,-1.9999420778905037,161725,26
10,-0.00019379950569514963,0.0005746108937065656,-0.3372708520108853,161857,26
11,-0.0002049121529968448,0.0006957663865043897,-0.29451286663379506,162783,26
12,-0.0017264797588588043,0.0005820461053286973,-2.966225086041619,162980,26
